name,ghs
Aeroporto,6g
Aracília,6g
Bananal,6g
Bela Vista,6g
Bom Clima,6g
Bonsucesso,6g
Cabuçu,6g
Cabuçu de Cima,6g
Capelinha,6g
Cecap,6g
Centro,6g
Cocaia,6g
Cumbica,6g
Fortaleza,6g
Fátima,6g
Gopoúva,6g
Invernada,6g
Itapegica,6g
Jardim Vila Galvão,6g
Lavras,6g
Macedo,6g
Maia,6g
Mato das Cobras,6g
Monte Carmelo,6g
Morro Grande,6g
Morros,6g
Paraventi,6g
Picanço,6g
Pimentas,6g
Ponte Grande,6g
Porto da Igreja,6g
Presidente Dutra,6g
Sadokim,6g
São João,6g
São Roque,6g
Taboão,6g
Tanque Grande,6g
Torres Tibagy,6g
Tranquilidade,6g
Vila Any,6g
Vila Augusta,6g
Vila Barros,6g
Vila Galvão,6g
Vila Rio,6g
Várzea do Palácio,6g
Água Azul,6g
Água Chata,6g
