name,ghs
Alameda Aida,6gyf
Alameda Amelia,6gyf
Alameda Josefina L Zamataro,6gyf
Alameda Manuel Jesus de Freitas,6gyft
Alameda Martins,6gyft
Alameda Padre Manuel da Nobrega,6gyf
Alameda Quatro,6gyf
Alameda Rufino Alves Lopes,6gyft
Alameda Tutoia,6gyf
Alameda Yaya,6gyf
Alameda das Acacias,6gyf 6gyft
Alameda das Angelicas,6gyft
Alameda das Azaleias,6gyf
Alameda das Magnolias,6gyft
Alameda das Papoulas,6gyf
Alameda das Tulipas,6gyft
Alameda das Vitorias Regias,6gyf 6gyft
Alameda dos Caquis,6g
Alameda dos Carvalhos,6g
Alameda dos Indigenas,6g
Alameda dos Lirios,6gyft
Alameda dos Pinheiros,6gyfx
Avenida A,6gy
Avenida Acapulco,6g 6gy
Avenida Adelaide,6gyf
Avenida Aguanil,6gyf
Avenida Alexandre Grandisoli,6gyf
Avenida Alfredo Barbosa,6gyf
Avenida Amalia Gollin Pagnoncelli,6gyf
Avenida Amancio Gaiolli,6g
Avenida Andre Luiz,6gyf
Avenida Anibal Martins,6gyft
Avenida Aniello Pratici,6gyf
Avenida Anna Rodrigues de Carvalho,6gyf
Avenida Antonieta,6gyf
Avenida Antonio Bardella,6gyf
Avenida Antonio Carlos,6gyft
Avenida Antonio Iervolino,6gyf
Avenida Antonio Toze,6gyf
Avenida Antonio de Souza,6gyf
Avenida Aracaju,6gyf 6gyft
Avenida Aracati,6gyf
Avenida Aricanduva (Pista Norte),6gyf
Avenida Aricanduva (Pista Sul),6gyf
Avenida Armando Bei,6g 6gyf
Avenida Atalaia do Norte,6gyfx
Avenida Avelino Alves Machado,6gyft
Avenida Baquirivu,6gyf
Avenida Barber Greene,6gyft
Avenida Bariloche,6g
Avenida Barra do Corda,6gyft
Avenida Bartholomeu de Carlos,6gyf 6gyft
Avenida Belo Campo,6gyf
Avenida Belo Horizonte,6gyf
Avenida Benjamim Harris Hunnicutt,6gyf 6gyft
Avenida Benvindo Tolentino Neto,6gyft
Avenida Birinepe,6gyfx
Avenida Boa Nova,6gyfx
Avenida Bom Clima,6gyft
Avenida Bom Jesus,6gyf
Avenida Bom Jesus da Lapa,6g
Avenida Brasil,6gyf
Avenida Brejinho,6gyfx
Avenida Brigadeiro Faria Lima,6gyft
Avenida C,6gyf
Avenida Caetano Zamataro,6gyf
Avenida Camacan,6gyf
Avenida Campista,6gyf
Avenida Candea,6gyf
Avenida Cannes,6g 6gy
Avenida Capitao Aviador Walter Ribeiro,6gyf
Avenida Carilau Cerri,6gyft
Avenida Carlos Ferreira Endres,6gyf
Avenida Carmela Dutra,6gyfx
Avenida Carmela Thomeu,6g
Avenida Cataguases,6gyf
Avenida Cesario Lange,6gyf
Avenida Chiyo Yamamoto,6g
Avenida Cidade De Santos,6gyf
Avenida Circular,6g
Avenida Comendador Wilson Talarico,6gyft
Avenida Condeal,6gyfx
Avenida Coqueiral,6gyf
Avenida Cordeiropolis,6g
Avenida Cumbica,6gyf
Avenida Decio Cossolin,6gyf
Avenida Delfinopolis,6gyf
Avenida Diorama,6gyf
Avenida Divinesia,6g
Avenida Dois,6gyf
Avenida Domenico Perella,6gyf
Avenida Domingos Fanganiello,6gyf
Avenida Dona Emilia de Castro Martins,6gyft
Avenida Dona Eugenia Machado da Silva,6gyf
Avenida Dona Gloria Pagnocelli,6gyf
Avenida Dona Mathias Janitelli Melliani,6gyf
Avenida Dona Rosa Maria da Conceicao Barbosa,6gyft
Avenida Doutor Arthur Marcondes de Siqueira,6gyf 6gyfx
Avenida Doutor Carlos de Campos,6gyft
Avenida Doutor Renato de Andrade Maia,6gyft
Avenida Doutor Timoteo Penteado,6gyf 6gyft
Avenida Doutor Vereador Carlos Aparecido Rabello de Freitas,6gyft
Avenida Duarte da Costa,6gyf
Avenida Emilia de Castro,6gyft
Avenida Emilio Ribas,6gyf
Avenida Esperanca,6gyft
Avenida Estados Unidos,6gyf
Avenida Estilac Leal,6gyf
Avenida Evangelista Joao Aparecido Do Carmo,6gyf
Avenida F,6gyf
Avenida Faustino Ramalho,6gyf
Avenida Flavia Pagnoncelli,6gyf
Avenida Florestan Fernandes,6gyf
Avenida Florianopolis,6gyf
Avenida Florinda M Barbosa,6gyf
Avenida Francisco Conde,6gyf
Avenida Francisco Morato,6gyft
Avenida Francisco Russo,6gyft
Avenida Francisco Xavier Correia,6gyf 6gyfx
Avenida Gaivota Preta,6gyf 6gyft
Avenida Gilberto Dini,6gyft
Avenida Guanabara,6g 6gy
Avenida Guape,6gyf
Avenida Guariba,6gyf
Avenida Guarulhos,6gyf
Avenida Guilherme Schmidt,6gyf
Avenida Guinle,6gyf
Avenida Iraucuba,6gyf 6gyfx
Avenida Irdi,6gyf
Avenida Ismaela Carbonel,6gyft
Avenida Itabirito,6gyf
Avenida Italia,6gyf
Avenida Italo Brasileiro Piva,6gyf
"Avenida Izaias Salvador da Silva ""Izaias Parente""",6g 6gyfx
Avenida Jabuticaba,6g
Avenida Jacunda,6g
Avenida Jacupiranga,6gyfx
Avenida Jaguarao,6gyf
Avenida Jaragua,6gyf
Avenida Joao Bassi,6gyf 6gyfx
Avenida Joao Bernardo Medeiros,6gyft
Avenida Joao Collado,6gy 6gyf
Avenida Joao Palma Aleman,6gyf
Avenida Joao Veloso da Silva,6gyf
Avenida Jorge Amado,6g
Avenida Jose Antonio Cabral,6gyf
Avenida Jose Antonio Zeraibe,6gyft
Avenida Jose Augusto da Silva Rico,6gyf
Avenida Jose Brumatti,6gyf
Avenida Jose Lourenco Neves,6gyft
Avenida Jose Ozildo Baltieri,6gyf
Avenida Jose Rangel Filho,6gyf
Avenida Josefa Francisca da Conceicao,6gyf
Avenida Jovita,6gyft
Avenida Julia Gaiolli,6g
Avenida Julio Prestes,6gyf
Avenida Jurema,6gyfx
Avenida Justino de Maio,6gyf
Avenida Koki Koga,6gyf
Avenida Ladslau Kardos,6g
Avenida Lagedao,6gyf
Avenida Laranjal Paulista,6gyf
