name,ghs
AGUAPEU,6gw
BAIXIO,6gw
BELAS ARTES,6gw
BOPIRANGA,6gw
CAMPOS ELISEOS,6gw
CENTRO,6gw
CIBRATEL I,6gw
CIBRATEL II,6gw
CIBRATEL(CHACARAS),6gw
CIDADE ANCHIETA,6gw
CORUMBÁ,6gw
GAIVOTA(INTERIOR),6gw
GAIVOTA(PRAIA),6gw
GUAPIRANGA,6gw
GUARAU,6gw
GUARDA CIVIL,6gw
JAMAICA(INTERIOR),6gw
JAMAICA(PRAIA),6gw
JARDIM ANCHIETA,6gw
JARDIM CORONEL,6gw
JARDIM IVOTY,6gw
JARDIM OÁSIS,6gw
JARDIM SUARAO(INTERIOR,6gw
JARDIM SUARAO(PRAIA),6gw
LARANJEIRAS,6gw
LOTY,6gw
MARROCOS,6gw
MOSTEIRO,6gw
NOSSA SENHORA DO SION,6gw
NOVA ITANHAEM(INTERIOR),6gw
NOVA ITANHAEM(PRAIA),6gw
PRAIA DOS SONHOS,6gw
RAMINHO,6gw
RIO ACIMA,6gw
SABAUNA,6gw
SAO FERNANDO(CHACARAS),6gw
SATELITE,6gw
SAVOY,6gw
SUARAO,6gw
TROPICAL,6gw
TUPY,6gw
UMUARAMA,6gw
VERDE MAR,6gw
VILA SAO PAULO,6gw
