name,ghs
3380 21,6gw
ALAMEDA 4,6gw
ALAMEDA ABILIO PADOVAN,6gw
ALAMEDA ACLIMAÇÃO,6gw
ALAMEDA ALEXANDRE DOS SANTOS,6gw
ALAMEDA AMALVE PEDRO MUNIZ,6gw
ALAMEDA AMOREIRAS,6gw
ALAMEDA ANTONIO DE JESUS,6gw
ALAMEDA ANTONIO LAMPING FILHO,6gw
ALAMEDA ARY PINTO COSTA,6gw
ALAMEDA AUTO BRAZ DE OLIVEIRA,6gw
ALAMEDA BANANEIRAS,6gw
ALAMEDA CAJUEIROS,6gw
ALAMEDA CAMPOS ELISEOS,6gw
ALAMEDA CIRCULAR,6gw
ALAMEDA EDITH HONORATO DA SILVA,6gw
ALAMEDA EMIDIO DE SOUSA,6gw
ALAMEDA FLAVIO DOHNAL,6gw
ALAMEDA FRANCISCO ANDRÉ DE LIMA,6gw
ALAMEDA FRANCISCO MONTEIRO DA SILVA,6gw
ALAMEDA GOIABEIRAS,6gw
ALAMEDA GUARAÇAI,6gw
ALAMEDA HELIO MARIETTO,6gw
ALAMEDA ITANHAÉM,6gw
ALAMEDA JABUTICABEIRAS,6gw
ALAMEDA JAQUEIRAS,6gw
ALAMEDA JOAQUIM DE PAULA SOUZA,6gw
ALAMEDA JOSÉ KLEIN,6gw
ALAMEDA JOSÉ SOARES CARVALHAES,6gw
ALAMEDA JOÃO BERNARDO NOGUEIRA,6gw
ALAMEDA JOÃO THEOBALDO PAMPLONA,6gw
ALAMEDA JUREMA GAUDÊNCIO DUARTE,6gw
ALAMEDA LARANJEIRAS,6gw
ALAMEDA MANGUEIRA,6gw
ALAMEDA OCTACILIO CARNEIRO DA SILVA,6gw
ALAMEDA ODILON FRANCISCO DE LIMA,6gw
ALAMEDA PESSEGUEIROS,6gw
ALAMEDA ROSA LEONTINA MORAES ALMEIDA,6gw
AVENIDA 01,6gw
AVENIDA 02,6gw
AVENIDA 03,6gw
AVENIDA 04,6gw
AVENIDA 1,6gw
AVENIDA 4,6gw
AVENIDA 47,6gw
AVENIDA 9,6gw
AVENIDA A,6gw
AVENIDA A DIREITA,6gw
AVENIDA A ESQUERDA,6gw
AVENIDA ALBERT SABIN,6gw
AVENIDA ALEMANHA,6gw
AVENIDA ALFA,6gw
AVENIDA ALMEIDA JUNIOR,6gw
AVENIDA AMAZONAS,6gw
AVENIDA ANCHIETA,6gw
AVENIDA ANTONIO BAENA FERNANDES,6gw
AVENIDA ARGENTINA,6gw
AVENIDA ARMENIA,6gw
AVENIDA ARY CARNEIRO DE SARAIVA,6gw
AVENIDA ATLÂNTICA,6gw
AVENIDA AURELIO CAMPOS,6gw
AVENIDA B,6gw
AVENIDA BAHIA,6gw
AVENIDA BANDEIRANTES,6gw
AVENIDA BAURU,6gw
AVENIDA BEIRA MAR,6gw
AVENIDA BENEDITO ANTONIO MUNIZ,6gw
AVENIDA BENEDITO RIBEIRO,6gw
AVENIDA BRASIL,6gw
AVENIDA BRASILIA SECKLER,6gw
AVENIDA C,6gw
AVENIDA CABUÇU,6gw
AVENIDA CALIFÓRNIA,6gw
AVENIDA CAMBURIU,6gw
AVENIDA CARLOS GOMES DE CAMARGO,6gw
AVENIDA CARLOS JOÃO DONNER,6gw
AVENIDA CAVUSSU,6gw
AVENIDA CENTRAL,6gw
AVENIDA CENTRAL DIREITA,6gw
AVENIDA CENTRAL ESQUERDA,6gw
AVENIDA CHILE,6gw
AVENIDA CLARA MARTINS ZWARG,6gw
AVENIDA CONCEIÇÃO DE ITANHAEM,6gw
AVENIDA CONDESSA DE VIMIEIROS,6gw
AVENIDA CORONEL SECKLER,6gw
AVENIDA D,6gw
AVENIDA DA FRANÇA,6gw
AVENIDA DAS PALMEIRAS,6gw
AVENIDA DEMERVAL PEREIRA LEITE,6gw
AVENIDA DO TELEGRAFO,6gw
AVENIDA DO TELÉGRAFO,6gw
AVENIDA DOMINGOS PERES DOMINGUES,6gw
AVENIDA DORACI TRANQUELIN DE VINCENTE,6gw
AVENIDA DOS FEIRANTES,6gw
AVENIDA DOUTOR ANTONIO RIBEIRO NOGUEIRA JUNIOR,6gw
AVENIDA DOUTOR ATALIBA NOGUEIRA,6gw
AVENIDA DOUTOR EDSON BAPTISTA DE ANDRADE,6gw
AVENIDA DOUTOR JOSÉ PEIXE ABADE,6gw
