name,ghs
***SEM NOME (ALPES DA CASTELO,6gy
ACESSO,6gy
ACESSO ( RESID SAO DOMINGOS),6gy
ACESSO (ALPHAVILLE ITU),6gy
ACESSO (AV DAS ROSAS),6gy
ACESSO (AV GALILEU BICUDO),6gy
ACESSO (COND RIVIERA),6gy
ACESSO (ESTAC PQ DO VARVITO),6gy
ACESSO (JD DAS ROSAS),6gy
ACESSO (MRV_RES PQ INCA),6gy
ACESSO (PLAZA SHOPING),6gy
ACESSO (PQ DO VARVITO),6gy
ACESSO (R PQ DO VARVITO),6gy
ACESSO (R SOROCABA),6gy
ACESSO (RES V DAS HORTENCIAS),6gy
ACESSO (RESID SPLENDOR),6gy
ACESSO (ROTATORIA TERRAS DE S JOSE),6gy
ACESSO HOSPITAL,6gy
ACESSO P/ AL DAS JABUTICABEIRAS,6gy
ACESSO P/ AV BOM RETIRO,6gy
ACESSO P/ AV DA PAZ UNIVERSAL,6gy
ACESSO P/ AV EDISON B ANDREAZZA,6gy
ACESSO P/ AV NOVE DE JULHO,6gy
ACESSO P/ AV PEDRO G FILHO,6gy
ACESSO P/ AV PLAZA,6gy
ACESSO P/ AV PRUDENTE DE MORAES,6gy
ACESSO P/ AV TIRADENTES,6gy
ACESSO P/ AVENIDA,6gy
ACESSO P/ PLAZA SHOPING,6gy
ACESSO P/ PORTAL DO EDEM,6gy
ACESSO P/ PQ VILLAGE CASTELO,6gy
ACESSO P/ R LEONARDO PINTI,6gy
ACESSO P/ RESID SETE QUEDAS,6gy
ACESSO P/ ROD CASTELO BRANCO,6gy
ACESSO P/ ROD SO-75,6gy
ACESSO P/ RODOVIA SP-075,6gy
ACESSO P/ RUA DR.  HERMOGENES GODOY,6gy
ACESSO P/ RUA IGNACIO RODRIGUES D'AVILA,6gy
ACESSO P/ RUA QUARTO CENTENARIO,6gy
ACESSOS (ADM COND TERRAS DE S JOSE),6gy
AL ACUMA,6gy
AL ACUTI,6gy
AL ADORMECIDA,6gy
AL ALICE,6gy
AL ANDRES JOSE MATO VILLANUEVA,6gy
AL ANHUM,6gy
AL ARAPE,6gy
AL ARENITO,6gy
AL ARIRI,6gy
AL ARISTOTELES,6gy
AL AURORA,6gy
AL BABACU,6gy
AL BARAO DO RIO BRANCO,6gy
AL BELA ADORMECIDA,6gy
AL BRANCA DE NEVE,6gy
AL CANDIDA,6gy
AL CARLA,6gy
AL CARNAUBEIRA,6gy
AL CAROLINA,6gy
AL CATARINA,6gy
AL CATU,6gy
AL CATUAPE,6gy
AL CATXERE,6gy
AL CAUAPE,6gy
AL CESAR DE BARROS ARANHA,6gy
AL CEUCY,6gy
AL CHAPEUZINHO VERMELHO,6gy
AL CINDERELA,6gy
AL CLAUDIA,6gy
AL CONTOS E FANTASIAS,6gy
AL CORAACY,6gy
AL DA ALEGRIA,6gy
AL DA COLOMBINA,6gy
AL DA ESTRELA DALVA,6gy
AL DA FELICIDADE,6gy
AL DA FONTE,6gy
AL DA HARMONIA,6gy
AL DA ILHA,6gy
AL DA IMPERATRIZ,6gy
AL DA JARDINEIRA,6gy
AL DA MORENINHA,6gy
AL DA PATA DA GAZELA,6gy
AL DA VITORIA,6gy
AL DAS ACACIAS,6gy
AL DAS ALAMANDAS,6gy
AL DAS AMENDOEIRAS,6gy
AL DAS AMOREIRAS,6gy
AL DAS ANDORINHAS,6gy
AL DAS ARACAS,6gy
AL DAS ARAPONGAS,6gy
AL DAS ARARIBAS,6gy
AL DAS ARAUCARIAS,6gy
AL DAS AZALEIAS,6gy
AL DAS AZELEIAS,6gy
AL DAS BAPEBAS,6gy
AL DAS BEGONIAS,6gy
AL DAS BRACATINGAS,6gy
AL DAS BRAUNILHAS,6gy
AL DAS BRAUNINHAS,6gy
AL DAS BROMELIAS,6gy
AL DAS CAMELIAS,6gy
AL DAS CANJARANAS,6gy
AL DAS CASTANHEIRAS,6gy
AL DAS CATUABEIRAS,6gy
AL DAS CAVIUNAS,6gy
AL DAS CAZUARINAS,6gy
AL DAS CEREJEIRAS,6gy
AL DAS CRAVINAS,6gy
AL DAS DEDALEIRAS,6gy
AL DAS EMBAUBAS,6gy
AL DAS ESPATODIAS,6gy
AL DAS ESPUMAS FLUTUANTES,6gy
AL DAS FIGUEIRAS,6gy
AL DAS GAIVOTAS,6gy
AL DAS GAMELEIRAS,6gy
AL DAS GARAPEIRAS,6gy
AL DAS GARDENIAS,6gy
AL DAS GOIABEIRAS,6gy
AL DAS GRANDIUVAS,6gy
AL DAS GRAUNAS,6gy
AL DAS GUAICARAS,6gy
AL DAS GUAJUVIRAS,6gy
AL DAS GUAPEBAS,6gy
AL DAS GUARICANAS,6gy
AL DAS GUARIROBAS,6gy
AL DAS HORTENCIAS,6gy
AL DAS IMBUIAS,6gy
AL DAS INAGARANAS,6gy
AL DAS ITARARANGAS,6gy
AL DAS JABUTICABEIRAS,6gy
AL DAS JAQUEIRAS,6gy
AL DAS JARACATIAS,6gy
AL DAS LARANJEIRAS,6gy
AL DAS MACARANDUBAS,6gy
AL DAS MACIEIRAS,6gy
AL DAS MANGABEIRAS,6gy
AL DAS MANGUEIRAS,6gy
AL DAS MARGARIDAS,6gy
AL DAS MINAS DE PRATA,6gy
AL DAS MORANGUEIRAS,6gy
AL DAS NOGUEIRAS,6gy
AL DAS ORQUIDEAS,6gy
AL DAS PAINEIRAS,6gy
AL DAS PALMEIRAS,6gy
AL DAS PASTORINHAS,6gy
AL DAS PATATIVAS,6gy
AL DAS PERDIZES,6gy
AL DAS PEREIRAS,6gy
AL DAS PEROBAS,6gy
AL DAS PEROBEIRAS,6gy
AL DAS PETUNIAS,6gy
AL DAS PITANGUEIRAS,6gy
AL DAS PRIMAVERAS,6gy
AL DAS QUARESMEIRAS,6gy
AL DAS ROMANZEIRAS,6gy
AL DAS SALVIAS,6gy
AL DAS SAPOPEMAS,6gy
AL DAS SAPUCAIAS,6gy
AL DAS SERINGUEIRAS,6gy
AL DAS SERRAS,6gy
AL DAS SIBIPIRUNAS,6gy
AL DAS TAPIAS,6gy
AL DAS TARUMAS,6gy
AL DAS UVARANAS,6gy
AL DAS VIOLETAS,6gy
AL DAS ZINAS,6gy
AL DIAMANTE,6gy
AL DIANA,6gy
AL DO ABRACO,6gy
AL DO ARLEQUIM,6gy
AL DO BOSQUE,6gy
AL DO CASARAO,6gy
AL DO ENCONTRO,6gy
AL DO IMPERADOR,6gy
AL DO LACO DE FITA,6gy
AL DO LAGO,6gy
AL DO MOCO LOIRO,6gy
AL DO NOVICO,6gy
AL DO PARQUE,6gy
AL DO PAUS-FERRO,6gy
AL DO PIERROT,6gy
AL DO PROGRESSO,6gy
AL DO SUCESSO,6gy
AL DOM CASMURRO,6gy
AL DOS ALGODEIROS,6gy
AL DOS ANGELINS,6gy
AL DOS ANGICOS,6gy
AL DOS ARATICUNS,6gy
AL DOS BACUPARIS,6gy
AL DOS BEIJA-FLORES,6gy
AL DOS BEM-TE-VIS,6gy
AL DOS BEM-TI-VIS,6gy
AL DOS BENTIVIS,6gy
