name,ghs
BAIRRO RESIDENCIAL JACAREI,6gz
BALNEARIO PARAIBA,6gz
BANDEIRA BRANCA I,6gz
BANDEIRA BRANCA II,6gz
BNH - CONJUNTO,6gz
CHACARA RECANTO DOS PASSAROS,6gz
CHACARAS GUARAREMA,6gz
CHACARAS MARILIA,6gz
CHACARAS PARATEI,6gz
CHACARAS REUNIDAS BELA VISTA,6gz
CHACARAS REUNIDAS YGARAPES,6gz
CHACARAS RURAIS SANTA MARIA,6gz
CHACARAS SANTA MARIA,6gz
CIDADE JARDIM,6gz
CIDADE NOVA JACAREI,6gz
CIDADE SALVADOR,6gz
COMERCIAL SAO PAULO,6gz
CONJ. RESID. PRES.  CASTELO BRANCO,6gz
CONJUNTO HABITACIONAL MARINHO,6gz
CONJUNTO RESIDENCIAL BRASILIA,6gz
CONJUNTO SAO BENEDITO,6gz
DESM. BARRIOS MADOLEN,6gz
DESMEMB. ELIRIA RODRIGUES DA ARAUJO,6gz
DESMEMBR (LADO JD PAULISTANO),6gz
DESMEMBRAMENTO - RTO,6gz
DESMEMBRAMENTO ARICE 1,6gz
DESMEMBRAMENTO ARICE 2,6gz
DESMEMBRAMENTO ARICE 3,6gz
DESMEMBRAMENTO ARMANDO VICENTE BASSI,6gz
DESMEMBRAMENTO CASA FONTE DA VIDA,6gz
DESMEMBRAMENTO EMILIA PIRES,6gz
DESMEMBRAMENTO ESPER,6gz
DESMEMBRAMENTO ITALO F. FROTA,6gz
DESMEMBRAMENTO LUCIO SALVADE,6gz
DESMEMBRAMENTO PACHECO E SILVA,6gz
DESMEMBRAMENTO PQ. SIQUEIRA,6gz
DESMEMBRAMENTO QUATRO RIBEIROS,6gz
DESMEMBRAMENTO SCAVONE CALBO,6gz
DESMEMBRAMENTO VENEZA,6gz
DESMEMBRAMENTO WALDEMAR ZACCHI,6gz
ESTANCIA PORTO VELHO,6gz
FAZENDA FLORIDA,6gz
ITAPOA,6gz
JACAREI - COLONIA JAMIC,6gz
JACINTHO CARVALHO LEAL,6gz
JARDIM ALTOS DE SANT'ANNA,6gz
JARDIM ALTOS DE SANT'ANNA II,6gz
JARDIM AMERICA,6gz
JARDIM BEIRA RIO,6gz
JARDIM BELA VISTA,6gz
JARDIM BOA ESPERANVA,6gz
JARDIM BOA VISTA,6gz
JARDIM CALIFORNIA,6gz
JARDIM CENTRAL PARK,6gz
JARDIM COLEGINHO,6gz
JARDIM COLINAS,6gz
JARDIM COLONIA,6gz
JARDIM CONQUISTA,6gz
JARDIM CRYSTAL PARK,6gz
JARDIM DAS INDUSTRIAS,6gz
JARDIM DAS OLIVEIRAS,6gz
JARDIM DIDINHA,6gz
JARDIM DO PORTAL,6gz
JARDIM DO VALE,6gz
JARDIM DORA,6gz
JARDIM ELZA MARIA,6gz
JARDIM EMILIA,6gz
JARDIM ESPER,6gz
JARDIM ESPERANCA,6gz
JARDIM FLORIDA,6gz
JARDIM GUARANI,6gz
JARDIM INDEPENDENCIA,6gz
JARDIM JACINTHO,6gz
JARDIM LEBLON,6gz
JARDIM LEBLON II,6gz
JARDIM LEONIDIA,6gz
JARDIM LIBERDADE,6gz
JARDIM LUIZA,6gz
JARDIM MARCONDES,6gz
JARDIM MARIA AMELIA A,6gz
JARDIM MARIA AMELIA B,6gz
JARDIM MARISTER,6gz
JARDIM MESQUITA,6gz
JARDIM NICELIA,6gz
JARDIM NOVA ESPERANCA,6gz
JARDIM NOVO AMANHECER,6gz
JARDIM OLYMPIA,6gz
JARDIM PANORAMA,6gz
JARDIM PARAISO 1,6gz
JARDIM PAULISTANO,6gz
JARDIM PEDRAMAR,6gz
JARDIM PEREIRA DO AMPARO,6gz
JARDIM PITORESCO,6gz
JARDIM PRIMAVERA,6gz
JARDIM REAL,6gz
JARDIM RESIDENCIAL GOLDEN PARK,6gz
JARDIM RIO PARAIBA,6gz
JARDIM ROSA CRAVEIRO,6gz
JARDIM ROSA TELES LUKASCHEK,6gz
JARDIM SANT'ANNA DO PEDREGULHO,6gz
JARDIM SANTA MARIA,6gz
JARDIM SANTA MARIA - PROL.,6gz
JARDIM SANTA MARINA,6gz
JARDIM SANTA TEREZINHA,6gz
JARDIM SANTANA,6gz
JARDIM SANTO ANTONIO BOA VISTA,6gz
JARDIM SAO GABRIEL,6gz
JARDIM SAO JOSE,6gz
JARDIM SAO LUIZ,6gz
JARDIM SAO MANOEL,6gz
JARDIM SIESTA,6gz
JARDIM SILVIA,6gz
JARDIM SOL NASCENTE,6gz
JARDIM SUNSET GARDEN,6gz
JARDIM TERRAS DA CONCEICAO,6gz
JARDIM TERRAS DE SANTA CLARA,6gz
JARDIM TERRAS DE SANTA HELENA,6gz
JARDIM TERRAS DE SAO JOAO,6gz
JARDIM VALE INDUSTRIAL PAULISTA,6gz
JARDIM VEM VIVER JACAREI,6gz
JARDIM VERA LUCIA,6gz
JARDIM VILMA,6gz
JARDIM VISTA VERDE,6gz
JARDIM YOLANDA,6gz
LAGOINHA,6gz
LOTEAMENTO JUCY MADID,6gz
NUCLEO JARDIM DO VALE,6gz
NUCLEO JARDIM VERA LUCIA,6gz
NUCLEO LAGOA AZUL,6gz
"PARAIBA, BALNEARIO - DESMEMBRA",6gz
PARQUE BRASIL,6gz
PARQUE CALIFORNIA,6gz
PARQUE DOS PRINCIPES,6gz
PARQUE IMPERIAL,6gz
PARQUE ITAMARATY,6gz
PARQUE MEIA LUA,6gz
PARQUE MIRANTE DO VALE,6gz
PARQUE MIRANTE DO VALE II,6gz
PARQUE NOVA AMERICA,6gz
