name,ghs
ALAMEDA ANGELIM,6gz7
ALAMEDA ANTARES,6gz7d
ALAMEDA BURITI,6gz7
ALAMEDA CAETÉS,6gz7 6gz7d
ALAMEDA CARAÍBAS,6gz7d
ALAMEDA CRUZEIRO DO SUL,6gz7d
ALAMEDA DA ALEGRIA,6gz7d
ALAMEDA DA BONDADE,6gz7d
ALAMEDA DA CONQUISTA,6gz7d
ALAMEDA DA FELICIDADE,6gz7d
ALAMEDA DA REALIZAÇÃO,6gz7d
ALAMEDA DA SATISFAÇÃO,6gz7d
ALAMEDA DA SOLIDARIEDADE,6gz7d
ALAMEDA DA TRANQUILIDADE,6gz7d
ALAMEDA DA UNIÃO,6gz7d
ALAMEDA DAS AMENDOEIRAS,6gz7d
ALAMEDA DAS AMOREIRAS,6gz7d
ALAMEDA DAS BROMÉLIAS,6gz7
ALAMEDA DAS DRACENAS,6gz7
ALAMEDA DAS GOIABEIRAS,6gz7d
ALAMEDA DAS LARANJEIRAS,6gz7d
ALAMEDA DAS MADRESSILVAS,6gz7 6gz7d
ALAMEDA DAS MANGUEIRAS,6gz7d
ALAMEDA DAS MELISSAS,6gz7
ALAMEDA DAS PITANGUEIRAS,6gz7d
ALAMEDA DAS TIPUANAS,6gz73
ALAMEDA DAS VIDEIRAS,6gz7d
ALAMEDA DO JEQUITIBÁ,6gz
ALAMEDA DO SORRISO,6gz7d
ALAMEDA DOS ALECRINS,6gz7 6gz7d
ALAMEDA DOS COQUEIROS,6gz7d
ALAMEDA DOS JACARANDÁS,6gz73
ALAMEDA DOS PINHEIROS,6gz73
ALAMEDA ESMERALDA,6gz7
ALAMEDA GRANADA,6gz7
ALAMEDA IMBUIA,6gz7
ALAMEDA INGÁ,6gz7
ALAMEDA LÁPIS LAZULI,6gz7
ALAMEDA MIRANTE DO VALE,6gz7 6gz7d
ALAMEDA PATAXÓS,6gz7d
ALAMEDA PAU-BRASIL,6gz7
ALAMEDA PÔR DO SOL,6gz7 6gz7d
ALAMEDA RUBI,6gz7
ALAMEDA TRÊS MARIAS,6gz7d
ALAMEDA TUCUMÃ,6gz7
AVENIDA A,6gz72
AVENIDA ABRAHAM LINCOLN,6gz76 6gz76q
AVENIDA ADELAIDE DA SILVA BISSOLI,6gz76
AVENIDA ADHEMAR PEREIRA DE BARROS,6gz7 6gz7d
AVENIDA ALBANO SIMÕES DE CASTRO,6gz73h
AVENIDA ALCIDES ARNALDO TAINO,6gz7 6gz7d
AVENIDA ALDA LENCIONI TOLEDO,6gz7d
AVENIDA ALEX DARQUE,6gz76 6gz76w
AVENIDA ALFREDO BLOIS,6gz76
AVENIDA ALFREDO DE MACEDO,6gz76
AVENIDA ALFREDO DE MORAES,6gz73
AVENIDA ALMEIDA JÚNIOR,6gz7d
AVENIDA AMAURY TEIXEIRA VASQUES,6gz73
AVENIDA AMAZONAS,6gz73y
AVENIDA AMÂNCIO DIAS,6gz76
AVENIDA ANDRÉ FRANCO MONTORO - GOV. FRANCO MONTORO,6gz73
AVENIDA ANGELO HENRIQUE DA SILVA,6gz7
AVENIDA ANTONIO ALVES DE CARVALHO ROSA,6gz76p 6gz7d
AVENIDA ANTONIO FONSECA,6gz7 6gz7d
AVENIDA ANTUNES DA COSTA,6gz73
AVENIDA ANTÔNIO ABDON ABRAHÃO,6gz7d
AVENIDA ARARY SIQUEIRA MOSCATELLO,6gz73 6gz73h
AVENIDA ARQUITETO JOSÉ ROBERTO NAVES SILVA,6gz76
AVENIDA AUGUSTO RODRIGUES,6gz76
AVENIDA AVAREÍ,6gz73y 6gz76n 6gz76p
AVENIDA AZÊNIO DE AZEVEDO CHAVES,6gz7 6gz7d
AVENIDA B,6gz72
AVENIDA BENEDICTA APPARECIDA DA SILVA - DONA DITICA,6gz72
AVENIDA BENEDITA MARTINS SIQUEIRA,6gz73
AVENIDA BENEDITO OSWALDO ANDRADE,6gz76
AVENIDA BENTO GUEDES,6gz76 6gz76q
AVENIDA BRASIL,6gz73
AVENIDA BRUNO DECÁRIA,6gz76p 6gz7d
AVENIDA C,6gz72
AVENIDA CALIFÓRNIA,6gz7d
AVENIDA CARLOS DRUMOND DE ANDRADE,6gz7d
AVENIDA CARLOS FREDERICO WERNECK DE LACERDA,6gz73 6gz73e
AVENIDA CARLOS GOMES,6gz7d
AVENIDA CEL. CARLOS PORTO,6gz73v
AVENIDA CLAUDETE GONÇALVES FARIA DA SILVA,6gz76
AVENIDA CLAURIDES DE SIQUEIRA,6gz7d
AVENIDA CLÉO DE VERBERENA,6gz7d 6gz7ds
AVENIDA CONDSA DA PEDRA BRANCA-LUÍSA M.DE B.PORTUGAL,6gz76
AVENIDA CONS. ANTONIO PRADO,6gz76n 6gz76p
AVENIDA COSTA RICA,6gz7d
AVENIDA CYRO DE SIQUEIRA ARMANI,6gz76
AVENIDA D,6gz72
AVENIDA DANTE SIANI,6gz76
AVENIDA DARCY DE OLIVEIRA REIS,6gz76h
AVENIDA DAS INDÚSTRIAS,6gz76
AVENIDA DAS LETRAS,6gz7d 6gz7ds
AVENIDA DAS LINHAS,6gz7d 6gz7ds
AVENIDA DAS NOTAS,6gz7d 6gz7ds
AVENIDA DIOGO DE FONTES,6gz72
AVENIDA DO CRISTAL,6gz76 6gz7d
AVENIDA DOM AVELAR BRANDÃO VILELA,6gz76
AVENIDA DOM PEDRO I - O JUSTICEIRO,6gz76w
AVENIDA DOMINGOS PAULO ALVARENGA,6gz76
AVENIDA DOS ADVOGADOS,6gz7
AVENIDA DOS BANCÁRIOS,6gz7
