name,ghs
AEROPORTO,6gy
AGAPEAMA,6gy
ALVORADA,6gy
ANHANGABAÚ,6gy
BONFIGLIOLI,6gy
CAMPO VERDE,6gy
CASTANHO,6gy
CAXAMBU,6gy
CECAP,6gy
CENTRO,6gy
CHAMPIRRA,6gy
CHÁCARA URBANA,6gy
COLÔNIA,6gy
CRISTAIS,6gy
CURRUPIRA,6gy
DISTRITO INDUSTRIAL,6gy
ENGORDADOURO,6gy
ERMIDA,6gy
FERNANDES,6gy
GRAMADÃO,6gy
HORTO FLORESTAL,6gy
HORTOLÂNDIA,6gy
IVOTURUCAIA,6gy
JARDIM BOTÂNICO,6gy
JARDIM DO LAGO,6gy
JARDIM PACAEMBU,6gy
JUNDIAÍ MIRIM,6gy
MALOTA,6gy
MARCO LEITE,6gy
MARINGÁ,6gy
MATO DENTRO,6gy
MEDEIROS,6gy
MOISÉS,6gy
NAMBI,6gy
NOVA ODESSA,6gy
NOVO HORIZONTE,6gy
PARQUE CENTENÁRIO,6gy
PARQUE INDUSTRIAL,6gy
PINHEIRINHO,6gy
PONTE ALTA,6gy
PONTE SÃO JOÃO,6gy
POSTE,6gy
PRACATÚ,6gy
RETIRO,6gy
RIO ACIMA,6gy
ROSEIRA,6gy
SAMAMBAIA,6gy
SANTA GERTRUDES,6gy
SERRA DO JAPI,6gy
SÃO CAMILO,6gy
SÃO JOSÉ DA PEDRA SANTA,6gy
TAMOIO,6gy
TARUMÃ,6gy
TERRA NOVA,6gy
TIJUCO PRETO,6gy
TOCA,6gy
TORRES DE SÃO JOSÉ,6gy
TULIPAS,6gy
VALE AZUL,6gy
VIANELO,6gy
VILA ARENS,6gy
VILA MILITAR,6gy
VILA MUNICIPAL,6gy
VILA PROGRESSO,6gy
VILA RAMI,6gy
VILA RIO BRANCO,6gy
ÁGUA DOCE,6gy
