name,ghs
BAIRRO (HABITAÇÃO) GEADA,6gy
BAIRRO BARROCA FUNDA,6gy
BAIRRO BOA VISTA,6gy
BAIRRO BOM JESUS,6gy
BAIRRO GRAMINHA,6gy
BAIRRO ITAIPU,6gy
BAIRRO NEVES,6gy
BAIRRO PIRES,6gy
BAIRRO PISCITELI,6gy
CHÁCARA ANTONIETA,6gy
CHÁCARA BOA VISTA,6gy
CHÁCARA BOA VISTA DA GRAMINHA,6gy
CHÁCARA CATAPANI,6gy
CHÁCARA PAULO DINIZ,6gy
CHÁCARA SANTA LÚCIA,6gy
CHÁCARA SANTA MADALENA,6gy
CHÁCARAS GAVA,6gy
CHÁCARAS MONTE VERDE,6gy
CHÁCARAS SANTA HELENA,6gy
CHÁCARAS SANTA PAULA,6gy
CONDOMÍNIO JATOBÁ,6gy
CONDOMÍNIO LIBERTY,6gy
CONDOMÍNIO RESIDENCIAL ALEXANDRE JANOSKI FILHO,6gy
CONDOMÍNIO RESIDENCIAL FLORES,6gy
CONDOMÍNIO RESIDENCIAL ITAMARACÁ,6gy
CONDOMÍNIO RESIDENCIAL PORTO SEGURO,6gy
CONDOMÍNIO RESIDENCIAL RECANTO DOS PÁSSAROS,6gy
CONDOMÍNIO RESIDENCIAL VILLA DO SOL,6gy
CONDOMÍNIO RESIDENCIAL VILLAGGIO DI VENEZIA,6gy
CONDOMÍNIO RESIDENCIAL VILLAGIO DE MICHELLI,6gy
CONJUNTO HABITACIONAL JOSÉ LUIS BLUMER,6gy
CONJUNTO HABITACIONAL MANOEL FRANCISCO,6gy
CONJUNTO RESIDENCIAL ECONÔMICO MANOEL SIMAO BARROS LEVY,6gy
CONJUNTO RESIDENCIAL INDEPENDÊNCIA,6gy
CONJUNTO RESIDENCIAL MARIO DE SOUZA QUEIROZ,6gy
CONJUNTO RESIDENCIAL OLINDO DE LUCCA,6gy
CONJUNTO RESIDENCIAL PARQUE NOVO MUNDO,6gy
CONJUNTO RESIDENCIAL PORTO FINO/ALTO DO FLAMBOYANT,6gy
CONJUNTO RESIDENCIAL SABIÁS,6gy
CONJUNTO RESIDENCIAL VICTOR DANDREA (CECAP),6gy
DESMEMBRAMENTO CAMILO FERRARI,6gy
DESMEMBRAMENTO JOSE ROBERTO KUHL,6gy
DESMEMBRAMENTO JOSÉ GERALDO CRISTOVAN,6gy
DESMEMBRAMENTO MARIO SOUZA QUEIROZ,6gy
DESMEMBRAMENTO SELECTOR,6gy
DISTRITO INDUSTRIAL DUAS BARRAS,6gy
DISTRITO INDUSTRIAL SEBASTIÃO FUMAGALLI,6gy
GLEBAS BEATRIZ,6gy
INDUSTRIAL BOA VISTA,6gy
JARDIM ALVORADA,6gy
JARDIM AMÉRICA,6gy
JARDIM ANHANGUERA,6gy
JARDIM AQUÁRIUS,6gy
JARDIM AVENIDA,6gy
JARDIM BANDEIRANTES,6gy
JARDIM BARÃO DE LIMEIRA,6gy
JARDIM BARÃO DE SOUZA QUEIROZ,6gy
JARDIM BELA VISTA,6gy
JARDIM BOA ESPERANÇA,6gy
JARDIM BOA VISTA,6gy
JARDIM BRASIL,6gy
JARDIM BUSCH,6gy
JARDIM CAIEIRA,6gy
JARDIM CAMPO VERDE I,6gy
JARDIM CASON,6gy
JARDIM CAVINATO,6gy
JARDIM CELINA,6gy
JARDIM CHÁCARAS NOVO MÉXICO,6gy
JARDIM CIDADE UNIVERSITÁRIA I,6gy
JARDIM COLINA VERDE,6gy
JARDIM COLINAS DE SÃO JOÃO,6gy
JARDIM COLINAS DO ENGENHO I,6gy
JARDIM COLONIAL,6gy
JARDIM DOM OSCAR ROMERO,6gy
JARDIM EDUARDO,6gy
JARDIM ELISA FUMAGALI,6gy
JARDIM ELITE,6gy
JARDIM ESMERALDA,6gy
JARDIM FLORENÇA,6gy
JARDIM GLÓRIA,6gy
JARDIM GRAMINHA,6gy
JARDIM GRÊMIO,6gy
JARDIM GUSTAVO PECCININI,6gy
JARDIM GUSTAVO PECCININI 2,6gy
JARDIM HORTÊNCIA,6gy
JARDIM IBIRAPUERA,6gy
JARDIM IPANEMA,6gy
JARDIM IPIRANGA,6gy
JARDIM ITAPOÃ,6gy
JARDIM JEQUITIBÁS,6gy
JARDIM JOÃO LEVY,6gy
JARDIM KELLY,6gy
JARDIM LAGO,6gy
JARDIM LAGO AZUL,6gy
JARDIM LAGOA NOVA,6gy
JARDIM LARANJEIRAS,6gy
JARDIM LIMERÂNEA,6gy
JARDIM MANACÁ,6gy
JARDIM MARIA BRUSCHI MODENEIS,6gy
JARDIM MARIA FLORA,6gy
JARDIM MARIA HELENA,6gy
JARDIM MEDITERRÂNEO,6gy
JARDIM MERCEDES,6gy
JARDIM MONTE CARLO,6gy
JARDIM MONTEZUMA,6gy
JARDIM MORRO BRANCO,6gy
JARDIM NEREIDE,6gy
JARDIM NOSSA SENHORA DE FÁTIMA,6gy
JARDIM NOSSA SENHORA DO AMPARO,6gy
JARDIM NOVA CONQUISTA,6gy
JARDIM NOVA EUROPA,6gy
JARDIM NOVA ITÁLIA,6gy
JARDIM NOVA LIMEIRA,6gy
JARDIM NOVA SUIÇA,6gy
JARDIM NOVO HORIZONTE,6gy
JARDIM ODÉCIO DEGAN,6gy
JARDIM OLGA VERONI,6gy
JARDIM ORESTES VERONI,6gy
JARDIM OURO BRANCO,6gy
JARDIM OURO VERDE,6gy
JARDIM PAINEIRAS,6gy
JARDIM PALMEIRAS,6gy
JARDIM PALMIRA,6gy
JARDIM PAULISTA,6gy
JARDIM PIRATININGA,6gy
JARDIM PIZA,6gy
JARDIM PLANALTO,6gy
JARDIM PORTO REAL I,6gy
JARDIM PORTO REAL II,6gy
JARDIM PORTO REAL III,6gy
JARDIM PORTO REAL IV,6gy
JARDIM PORTO REAL V,6gy
JARDIM PRESIDENTE DUTRA,6gy
JARDIM REAL PARK,6gy
JARDIM RECANTO VERDE,6gy
JARDIM RESIDENCIAL ABILIO PEDRO IV,6gy
JARDIM RESIDENCIAL ADELIA CAVICCHIA GROTA,6gy
JARDIM RESIDENCIAL ALTO DA CAPELA,6gy
JARDIM RESIDENCIAL ALTO DA GRAMINHA,6gy
JARDIM RESIDENCIAL ALTO DO FLAMBOYANT,6gy
JARDIM RESIDENCIAL ANTÔNIO BRIGATTO,6gy
JARDIM RESIDENCIAL ANTÔNIO SIMONETTI 1,6gy
JARDIM RESIDENCIAL ANTÔNIO SIMONETTI 2,6gy
JARDIM RESIDENCIAL ANTÔNIO SIMONETTI 3,6gy
JARDIM RESIDENCIAL ANTÔNIO SIMONETTI 4,6gy
JARDIM RESIDENCIAL BARTOLOMEU GROTTA,6gy
JARDIM RESIDENCIAL CAMPO BELO,6gy
JARDIM RESIDENCIAL CAMPO NOVO,6gy
JARDIM RESIDENCIAL CANAÃ,6gy
JARDIM RESIDENCIAL E COMERCIAL ALTO DOS LARANJAIS,6gy
JARDIM RESIDENCIAL ERNESTO KUHL,6gy
JARDIM RESIDENCIAL FLORA,6gy
JARDIM RESIDENCIAL FRANCISCO CRUANES,6gy
JARDIM RESIDENCIAL GRAMINHA II,6gy
JARDIM RESIDENCIAL GRAMINHA III,6gy
JARDIM RESIDENCIAL GRANJA MACHADO,6gy
JARDIM RESIDENCIAL GUIMARÃES,6gy
JARDIM RESIDENCIAL JOSÉ CORTEZ,6gy
JARDIM RESIDENCIAL LUIZ REGITANO,6gy
JARDIM RESIDENCIAL MONSENHOR ROSSI (CENTREVILLE),6gy
JARDIM RESIDENCIAL MORRO AZUL,6gy
JARDIM RESIDENCIAL RECANTO ALVORADA,6gy
JARDIM RESIDENCIAL REGINA BASTELLI,6gy
JARDIM RESIDENCIAL ROSEIRA,6gy
JARDIM RESIDENCIAL SANTA AMÁLIA,6gy
