name,ghs
AE. AREA ENCRAVADA (ESTADIO),6gyr9t 6gyr9w
AL. ACACIA,6gyr
AL. ALAMEDA ITAPEMA,6gyr
AL. AZALEIA,6gyr
AL. HORTENSIA,6gyr
AL. LUIZ BERTO,6gyr3 6gyr9
AL. ORQUIDEAS,6gyr
AL. PAPOULA,6gyr
AL. PRIMAVERA,6gyr
ALAMED ALDO JOSE KUHL,6gyr3
ALAMED ANGELO DRAGO,6gyr3
ALAMED ANTONIO DE FELICE,6gyr3
ALAMED BEGONIA,6gyr
ALAMED BORDEAUX,6gyr8
ALAMED BOURGOGNE,6gyr8
ALAMED BRINCO-DE-PRINCESA,6gyr
ALAMED CAMELIA,6gyr
ALAMED CHAMPAGNE,6gyr8
ALAMED CHAMPS ELYSEES,6gyr8
ALAMED CRISANTEMO,6gyr
ALAMED EMANOEL ROCCO,6gyr3
ALAMED EMILIO ZENEBON,6gyr3 6gyr9
ALAMED FLAMBOYANT,6gyr
ALAMED FLOR-DE-LIS,6gyr
ALAMED GARDENIA,6gyr
ALAMED GIRASSOL,6gyr
ALAMED HELIO KUHL,6gyr3
ALAMED JASMIM,6gyr
ALAMED JOAO SENRA,6gyr3
ALAMED LAURO GORIEL,6gyr3
ALAMED LUIZ DONDELLI,6gyr3 6gyr9
ALAMED MARGARIDA,6gyr
ALAMED QUARESMEIRAS,6gy
ALAMED RAPHAEL GULLO,6gyr3
ALAMED ROSAS,6gyr
ALAMED VIOLETA,6gyr
AV. ABILIO PEDRO,6gyr8
AV. AGOSTINHO PRADA /COMENDADOR,6gyr8 6gyr9
AV. ALCIDES RODRIGUES MADURO,6gyr8
AV. AMANDA MORELLI,6gyr2
AV. ANNA LEVY,6gyr
AV. ANTONIO CONSELHEIRO,6gyr3 6gyr35 6gyr3h
AV. ANTONIO D ANDREA,6gyr8
AV. ANTONIO OMETTO,6gyr9 6gyr93 6gyr96
AV. ARLINDA ABREU RIBEIRO,6gyr 6gyr9f
AV. ARMANDO RAGONHA,6gyr3
AV. ARY LEVY PEREIRA /PREFEITO,6gy 6gyr 6gyr8
AV. BELMIRO FANELLI /DR,6gyr9 6gyr9t 6gyr9w
AV. BRENO MACHADO GOMES/DR.,6gy
AV. CANADA,6gyr8 6gyr8q
AV. CARLOS ZACCARIA,6gyr8 6gyr8k
AV. EDITH SOUZA DOS SANTOS,6gyr2
AV. EDUARDO PEIXOTO,6gyr8 6gyr9 6gyr91
AV. FABRICIO VAMPRE /DR,6gyr8 6gyr8s 6gyr8v 6gyr9h 6gyr9j
AV. FAUSTO ESTEVES DOS SANTOS,6gyr3 6gyr3m
AV. JOAO SCHULTZ,6gyr8
AV. JOSE ADRIANO LOPES CASTELLO BRANCO /DR.,6gy
AV. JOSE BALBINO DA SILVA,6gyr2
AV. JOSE DA ANNUNCIACAO FIORENTINI /SR,6gyr8
AV. JOSE FAVARO,6gyr3
AV. LARANJEIRAS,6gyr 6gyr9 6gyr9m 6gyr9w 6gyr9x
AV. LAURO CORREA DA SILVA /DR,6gyr2 6gyr3 6gyr9 6gyr91
AV. LUIZ ANTONIO AZEVEDO BITENCOURT/AC,6gyr8s
AV. LUIZ CAVINATO,6gyr3
AV. LUIZ GUERRA FILHO,6gyr8
AV. MARCOS MANGINELLI,6gyr2
AV. MARIA BUZOLIN,6gyr9h 6gyr9j 6gyr9n
AV. OSCAR AUGUSTO GUELLI -PROF.,6gyr8
AV. PALMYRA LOUREIRO RAMOS,6gyr3
AV. PAU BRASIL,6gyr
AV. PLINIO AUGUSTO FREIRE MONTEIRO DOS SANTOS,6gyr8 6gyr8b
AV. PROJ. 01 A/B - DISTR.INDL.ANHANGUERA,6gyr
AV. PROJ. 02 A/B - DISTR.INDL.ANHANGUERA,6gyr
AV. PROJETADA 02 - JD.MARAJOARA,6gyr3
AV. PROJETADA 02A/02B - JD.MARAJOARA,6gyr3
AV. PROJETADA 03A - JD.MARAJOARA,6gyr3
AV. PROJETADA [ACESSO PQ.DOS SABIAS],6gyr3
AV. ROTARIANO JOAO JOSE DOS SANTOS,6gyr8
AV. SANTA BARBARA,6gyr9
AV. SAO SEBASTIAO,6gyr9 6gyr97 6gyr9e 6gyr9k 6gyr9m
AV. SAUDADES,6gyr9
AV. SIMAO LEVY,6gyr
AV. STANLEY,6gy
AV. TARCISIO ARIOVALDO DO AMARAL /DOM,6gyr2
AVENID A -PQ.INDL.SOUZA QUEIROZ,6gy
AVENID ADAO HEBLING,6gyr8
AVENID ALFREDO FERRAZ DE ABREU /DR,6gyr9
AVENID AMBROSIO FUMAGALLI,6gyr
AVENID ANA CAROLINA DE BARROS LEVY,6gyr9j
AVENID ANTONIA VALVERDE CRUANES /DONA,6gyr8 6gyr8v
AVENID ANTONIO CHERUBIM SANCHES,6gy
AVENID ANTONIO DE LUNA /DR,6gyr2 6gyr3 6gyr35 6gyr3h 6gyr3j
AVENID ANTONIO EUGENIO LUCATO /ENGENHEIRO,6gyr97 6gyr9d 6gyr9k 6gyr9m
AVENID ANTONIO FRANCISCO TOLEDO,6gyr9 6gyr9w
AVENID ANTONIO MARTINS,6gyr2
AVENID ANTONIO PANARO,6gyr
AVENID ANTONIO PERCHES LORDELLO /PROFESSOR,6gyr8s
AVENID ANTONIO PRINCE RODRIGUES /PROF.DR,6gyr3h 6gyr3j
AVENID ARARAS,6gyr9 6gyr9m 6gyr9n
AVENID ARMANDO PACHECO BARROS,6gyr2
AVENID ARTHUR DA COSTA E SILVA /MARECHAL,6gyr 6gyr9
AVENID ASSIS BRASIL,6gyr97 6gyr9e
AVENID AUGUSTO ROLAND,6gyr
AVENID B -PQ.INDL.SOUZA QUEIROZ,6gy
AVENID C -PQ.INDL.SOUZA QUEIROZ,6gy
AVENID CAMPINAS,6gyr3 6gyr9 6gyr96 6gyr97 6gyr9d
AVENID CARLOS ALBERTO CATAPANI,6gyr8
AVENID CARLOS KUNTZ BUSCH,6gyr
AVENID CLAUDEMIRO ROLAND,6gyr3
AVENID DAVID DOS SANTOS,6gyr
AVENID DORIVAL FAVERI,6gyr2
AVENID DOS ANTULIOS,6gy
AVENID DOS BALSAMOS,6gyr
AVENID DOS EXPEDICIONARIOS,6gyr8 6gyr8k
AVENID ESTADOS UNIDOS,6gyr8 6gyr8q
AVENID FIGUEIRA BRANCA,6gyr
AVENID FLORINDO MALAVASI,6gyr
AVENID FULVIO CIARROCHI,6gyr
AVENID GABRIEL VASQUES,6gyr3
AVENID GONCALVES DIAS,6gyr97 6gyr9e
AVENID GUIOMAR AURORA DE BARROS FERREIRA GLORIA,6gyr 6gyr8
AVENID GUMERCINDO ARAUJO,6gyr8 6gyr8v
AVENID GUSTAVO BATISTELLA /ESTUDANTE,6gyr
AVENID HIPOLITO PINTO RIBEIRO /DR,6gyr 6gyr9
AVENID HYGINO DE BARROS CAMARGO,6gyr 6gyr9
AVENID IDILIO JOSE SOARES /DOM,6gyr8 6gyr8s
AVENID ISMAEL ANTONIO DELLA COLETTA /SR,6gyr8
AVENID ISMAEL FERREIRA DOS SANTOS,6gyr
AVENID ITALIA FINOTTO DE FELICE /DONA,6gyr9
AVENID JACOB COVER,6gyr8k 6gyr8m
AVENID JAIME CHEQUE,6gyr8
AVENID JOAO DANIEL DOS SANTOS,6gyr3
AVENID JOAO DAS MERCES /FREI,6gyr8 6gyr8k
AVENID JOAO DE FAVERE,6gyr8
AVENID JOAO DE OLIVEIRA SILVEIRA /DR,6gyr8
AVENID JOAO JORGE DE OLIVEIRA,6gyr3
AVENID JOAQUIM DE MICHIELI /PROFESSOR,6gyr8 6gyr8s
AVENID JOINVILE,6gyr
AVENID JOSE LEVY SOBRINHO /MAJOR,6gyr9 6gyr9t
AVENID JOSE POLATO,6gyr 6gyr8
AVENID JOSE ROQUE DA SILVEIRA,6gyr9n
AVENID LAFAYETTE,6gyr8
AVENID LIBERTINO PIZANI,6gyr8
AVENID LUIS VAZ DE CAMOES,6gyr8k
AVENID LUMIERE,6gyr8
AVENID MANOEL ALVES /CONEGO,6gyr8 6gyr8q 6gyr8v
AVENID MARCOS MANGINELLI,6gyr2
AVENID MARGINAL -RESD.SANTO ANTONI(RUA),6gyr8
AVENID MARIA THEREZA SILVEIRA BARROS CAMARGO /D,6gyr8 6gyr9 6gyr9n
AVENID MARIO CAMARGO ARANHA /DR,6gyr8m
AVENID MIMO,6gy
AVENID MOGI MIRIM,6gyr9t
AVENID MUNIQUE,6gyr
AVENID NELSON APARECIDO NASCIMENTO,6gyr2 6gyr8
AVENID NOEMIA DE CASTRO OLIVEIRA /PROFESSORA,6gyr8s
AVENID NOVE DE JULHO,6gyr9 6gyr9h
AVENID ODECIO ORSI,6gyr35
AVENID ODECIO ROLAND /DR,6gyr9 6gyr9n
AVENID ORLANDO SOARES,6gyr
AVENID OSVALDO ZOLEZI,6gyr8
AVENID OSWALDO FIGUEIREDO,6gyr2
AVENID PAULINO APPARECIDO FACIO,6gyr8
AVENID PAULO SAVIO,6gyr9
AVENID PEDRO PERISSOTTO,6gyr3
AVENID PESSOTO /SARGENTO,6gyr9 6gyr97 6gyr9k
AVENID PINGO DE OURO,6gy
AVENID PIRACICABA,6gyr9h
AVENID RIO CLARO,6gyr9j 6gyr9n
AVENID ROMANO ZOVICO,6gyr
AVENID RUY BARBOSA,6gyr9 6gyr97 6gyr9e
AVENID SEBASTIAO DA CUNHA,6gyr8
AVENID SEBASTIAO NOGUEIRA DE LIMA /PROFESSOR,6gyr 6gyr9
AVENID SERAPHIM RONDAN,6gyr8
AVENID SOUZA QUEIROZ,6gyr9 6gyr9m
AVENID TARUMA,6gyr 6gyr8
AVENID VICTOR DI SESSA,6gyr8k
AVENID VITORINO ARIGONE,6gyr9
AVENID VITORIO BORTOLAN,6gyr8 6gyr8k 6gyr8m
AVENID WAGNER MODESTO /CABO PM,6gyr8
AVENID XIXIRRI /MAESTRO,6gyr9 6gyr91
CAM. DARIO PINARELI/SERVIDAO A,6gyr9
CAM. DE SERVIDAO DE ACESSO A LIM 377,6gyr
CAM. DOS RODRIGUES / SERVIDAO DE PASSAGEM,6gyr3
CAM. SERVIDAO A RUA JOSE DA SILVA GONCALO,6gyr 6gyr9
CAM. SERVIDAO AC P/R.CARLOS NILSON,6gyr9d
CAM. SERVIDAO DE ACESSO A LIM-125,6gyr
CAM. SERVIDAO DE ACESSO A RUA BENEDITA MARINHO PIN,6gyr3
ESTR. ADAO BERNARDO (LIM.125),6gy 6gyr
ESTR. ALFREDO ZAMBUZI (LIM-186),6gy
ESTR. ANTONIO CAVINATTO (LIM-141),6gyr
ESTR. LIM 264 - LIMEIRA-SANTA BARBARA,6gyr2
ESTR. VICENTE INCERPE FILHO (LIM-273),6gy 6gyr
ESTRAD AIMEE SEMPLE MCPHERSON /ESTR.MISSIONARIA,6gyr
ESTRAD GUIDO TETZNER,6gyr
ESTRAD JORGE CARLOS IVERS,6gyr
ESTRAD MUNICIPAL LIM.060,6gyr
ESTRAD MUNICIPAL LIM.112,6gyr
ESTRAD MUNICIPAL LIM.117,6gyr
ESTRAD MUNICIPAL LIM.123,6gyr
ESTRAD MUNICIPAL LIM.146,6gyr
ESTRAD MUNICIPAL LIM.157,6gyr
ESTRAD MUNICIPAL LIM.260,6gy
ESTRAD MUNICIPAL LIM.281,6gyr
ESTRAD MUNICIPAL LIM.282,6gyr
ESTRAD MUNICIPAL LIM.295,6gy
ESTRAD MUNICIPAL LIM.316,6gyr
ESTRAD MUNICIPAL LIM.322,6gyr
ESTRAD MUNICIPAL LIM.330,6gyr
ESTRAD MUNICIPAL LIM.335,6gy
ESTRAD MUNICIPAL LIM.340,6gyr
ESTRAD MUNICIPAL LIM.346,6gyr
ESTRAD MUNICIPAL LIM.349,6
ESTRAD MUNICIPAL LIM.353,6gyr
ESTRAD MUNICIPAL LIM.365,6
ESTRAD MUNICIPAL LIM.366,6gy
ESTRAD MUNICIPAL LIM.367,6gy
ESTRAD MUNICIPAL LIM.378,6gy
ESTRAD MUNICIPAL LIM.381,6gyr
ESTRAD MUNICIPAL LIM.385,6gy
ESTRAD MUNICIPAL LIM.391,6gy
ESTRAD MUNICIPAL LIM.393,6gyr
ESTRAD MUNICIPAL LIM.432,6gyr
ESTRAD MUNICIPAL LIM.442,6gyr
LARGO BOA MORTE /DA,6gyr9k
LARGO SANTA CRUZ,6gyr9m
LARGO SAO BENEDITO,6gyr9j 6gyr9m
LARGO SAO SEBASTIAO,6gyr9m
LGO. JOSE BONIFACIO,6gyr9k 6gyr9m
PCA. ADAO JOSE DUARTE DO PATEO,6gyr9m
PCA. LUCIANO ESTEVES /DR,6gyr9k
PCA. PRIMEIRO DE MAIO,6gyr8
PCA. TOLEDO BARROS,6gyr9k
PCA. VALENCIA,6gyr9 6gyr9m 6gyr9t 6gyr9w
PRAÃ?A ALEXANDRINA VAZ DOS SANTOS,6gyr9d
PRAÃ?A ANTONIO DE QUEIROZ /PROFESSOR,6gyr97
PRAÃ?A COSTA /CAPITAO,6gyr9w
PRAÃ?A EPIFANIO PRADO /DR,6gyr9w
PRAÃ?A FRANCISCO PAZELLI,6gyr96 6gyr9d
PRAÃ?A HERNANI MOLINA LANG,6gyr9c 6gyr9f
PRAÃ?A JOAO PESSOA,6gyr9k
PRAÃ?A JOAO SOARES POMPEO,6gyr9j
PRAÃ?A MARCOS AURELIO GIRARDELLO,6gyr9h
PRAÃ?A MILTON SILVEIRA /DR,6gyr8
PRAÃ?A PEDRO DRAGONE,6gyr9e
PRAÃ?A ROSA GALZERANO ALIBERTI,6gyr3
PRAÃ?A ROSA GRANZOTTO ROSADA,6gyr9t
PRAÃ?A VITAL BRASIL,6gyr9
PRAÃ?A WALDEMAR FORSTER,6gyr3
PROL. DA VIA MARIO PEIXOTO DE OLIVEIRA,6gyr
R. (),6gyr 6gyr3
R. ABELARDO PINTO DE LEMOS,6gyr
R. ABILIO ALVES ESTEVES,6gyr9
R. ACELINO KOPPE /SENHOR,6gyr2
R. ADELVITA RODRIGUES BARBOSA,6gyr3
