name,ghs
Adalgisa,6gy
Alianca,6gy
Ayrosa,6gy
Bandeiras,6gy
Baronesa,6gy
Bela Vista,6gy
Bonanca,6gy
Bonfim,6gy
Bussocaba,6gy
Castelo Branco,6gy
Centro,6gy
Cidade das Flores,6gy
Cidade de Deus,6gy
Cipava,6gy
City Bussocaba,6gy
Conceicao,6gy
Continental,6gy
Helena Maria,6gy
IAPI,6gy
Indl. Altino,6gy
Indl. Anhanguera,6gy
Indl. Autonomistas,6gy
Indl. Centro,6gy
Indl. Mazzei,6gy
Indl. Remedios,6gy
Jaguaribe,6gy
Jardim D'Abril,6gy
Jardim Elvira,6gy
Jardim Roberto,6gy
Jardim das Flores,6gy
Km 18,6gy
Metalurgicos,6gy
Munhoz Jr.,6gy
Mutinga,6gy
Novo Osasco,6gy
Padroeira,6gy
Paiva Ramos,6gy
Pestana,6gy
Piratininga,6gy
Platina,6gy
Portal D'Oeste,6gy
Presidente Altino,6gy
Quitauna,6gy
Raposo Tavares,6gy
Remedios,6gy
Rochdale,6gy
Santa Fe,6gy
Santa Maria,6gy
Santo Antonio,6gy
Sao Pedro,6gy
Setor Militar,6gy
Tres Montanhas,6gy
Umuarama,6gy
Veloso,6gy
Vila Campesina,6gy
Vila Menck,6gy
Vila Militar,6gy
Vila Osasco,6gy
Vila Yara,6gy
Vila Yolanda,6gy
