name,ghs
ALAMEDA  ABRAAO,6gy
ALAMEDA  ANGELINS,6gy
ALAMEDA  AROEIRA VERMELHA,6gy
ALAMEDA  BURITI,6gy
ALAMEDA  EBENEZER,6gy
ALAMEDA  EL SHADAI,6gy
ALAMEDA  FLAMBOYANT,6gy
ALAMEDA  GUAPURUVU,6gy
ALAMEDA  JEQUITIBA,6gy
ALAMEDA  JURUPIS,6gy
ALAMEDA  MALAQUIAS,6gy
ALAMEDA  MANACAS,6gy
ALAMEDA  OITI,6gy
ALAMEDA  PAINEIRA VERMELHA,6gy
ALAMEDA  PERSEVERANÇA,6gy
ALAMEDA  PINHEIROS,6gy
ALAMEDA  RORAIMA,6gy
ALAMEDA  ROSA DE SHARON,6gy
ALAMEDA  SAPUCAIA,6gy
ALAMEDA  SHALLON ADONAI,6gy
ALAMEDA  SIBIPIRUNA,6gy
ALAMEDA  SOMBREIRO,6gy
ALAMEDA  TIMBAUBA,6gy
ALAMEDA  UMBURANA,6gy
ALAMEDA  YPE ROXO,6gy
ALAMEDA DOS AICAS,6gy
ALAMEDA DOS APOSTOLOS,6gy
ALAMEDA DOS IPES,6gy
ALAMEDA DOS JAMARIS,6gy
ALAMEDA DOS MARACATINS,6gy
ALAMEDA PARQUE DOS GIRASSOIS,6gy
ALÇA DE ACESSO DO RODOANEL,6gy
ALÇA MARGINAIS PEDAGIADA CASTELO BRANCO,6gy
AVENIDA  AILTON TEDESCHI,6gy
AVENIDA  ALBERTO SANTOS DUMONT,6gy
AVENIDA  ALFREDO ROQUE FILHO,6gy
AVENIDA  ALUISIO DE AZEVEDO,6gy
AVENIDA  ANALICE SAKATAUSKAS,6gy
AVENIDA  ANTONIO CANOS QUADROS,6gy
AVENIDA  ANTONIO CARLOS COSTA,6gy
AVENIDA  ANTONIO HENRIQUE LARANJEIRA,6gy
AVENIDA  AYRTON SENNA,6gy
AVENIDA  BANDEIRANTES,6gy
AVENIDA  BENEDITO ALVES TURIBIO,6gy
AVENIDA  BENEDITO LOPES DA SILVA,6gy
AVENIDA  BRASIL,6gy
AVENIDA  BRAZ ZULLI,6gy
AVENIDA  BUSSOCABA,6gy
AVENIDA  CAETANO DE CAMPOS,6gy
AVENIDA  CARLOS DE OLIVEIRA SILVA,6gy
AVENIDA  CARLOS DRUMOND DE ANDRADE,6gy
AVENIDA  CASPER LIBERO,6gy
AVENIDA  CESAR ABRAAO,6gy
AVENIDA  CLOVIS ASSAF,6gy
AVENIDA  CRISANTEMO,6gy
AVENIDA  CRUZEIRO DO SUL,6gy
AVENIDA  DEZENOVE DE FEVEREIRO,6gy
AVENIDA  DIONYSIA ALVES BARRETO,6gy
AVENIDA  DIRETRIZ,6gy
AVENIDA  DIVINO ESPIRITO SANTO,6gy
AVENIDA  DOIS,6gy
AVENIDA  DOLORES LUPIANO MOIOLI,6gy
AVENIDA  DOMINGOS ODALIA FILHO,6gy
AVENIDA  EDMUNDO AMARAL,6gy
AVENIDA  EDUARDO CARLOS PEREIRA,6gy
AVENIDA  ERICO VERISSIMO,6gy
AVENIDA  ESTADOS UNIDOS,6gy
AVENIDA  EUCALIPTO,6gy
AVENIDA  EURICO DA CRUZ,6gy
AVENIDA  FLORA,6gy
AVENIDA  FRANCISCO DE ASSIS DINIS,6gy
AVENIDA  FRANZ VOEGELI,6gy
AVENIDA  FUAD AUADA,6gy
AVENIDA  GENESIS,6gy
AVENIDA  GETULIO VARGAS,6gy
AVENIDA  GRACIELA FLORES DE PITERI,6gy
AVENIDA  GUSTAVO BERTHIER,6gy
AVENIDA  GUSTAVO RAZZO,6gy
