name,ghs
AGRONOMIA,6gy
ALGODOAL,6gy
AREIÃO,6gy
BAIRRO VERDE,6gy
CAMPESTRE,6gy
CAPIM FINO,6gy
CASTELINHO,6gy
CECAP,6gy
CENTRO,6gy
CHICÓ,6gy
CIDADE ALTA,6gy
CIDADE JARDIM,6gy
CIDADE JUDICIÁRIA,6gy
CLUBE DE CAMPO,6gy
CONCEIÇÃO,6gy
CORUMBATAÍ,6gy
DOIS CÓRREGOS,6gy
DONA ANTÔNIA,6gy
EXPANSÃO UNISUL,6gy
GLEBAS CALIFÓRNIA,6gy
GUAMIUM,6gy
HIGIENÓPOLIS,6gy
JARAGUÁ,6gy
JARDIM ABAETÉ,6gy
JARDIM CALIFÓRNIA,6gy
JARDIM CAXAMBU,6gy
JARDIM ELITE,6gy
JARDIM ITAPUÃ,6gy
JARDIM PLANALTO,6gy
JARDIM PRIMAVERA,6gy
JARDIM SÃO FRANCISCO,6gy
JUPIÁ,6gy
MONTE ALEGRE,6gy
MONTE LÍBANO,6gy
MONUMENTO,6gy
MORATO,6gy
MORUMBI,6gy
MÁRIO DEDINI,6gy
NHÔ QUIM,6gy
NOVA AMÉRICA,6gy
NOVA PIRACICABA,6gy
NOVO HORIZONTE,6gy
ONDAS,6gy
ONDINHAS,6gy
PARQUE DA RUA DO PORTO,6gy
PARQUE RESIDENCIAL PIRACICABA,6gy
PAULICÉIA,6gy
PAULISTA,6gy
PIRACICAMIRIM,6gy
POMPÉIA,6gy
SANTA CECÍLIA,6gy
SANTA HELENA,6gy
SANTA RITA,6gy
SANTA ROSA,6gy
SANTA TEREZINHA,6gy
SÃO DIMAS,6gy
SÃO JORGE,6gy
SÃO JUDAS,6gy
TAQUARAL,6gy
UNILESTE,6gy
VALE DO SOL,6gy
VILA CRISTINA,6gy
VILA FÁTIMA,6gy
VILA INDEPENDÊNCIA,6gy
VILA INDUSTRIAL,6gy
VILA MONTEIRO,6gy
VILA REZENDE,6gy
VILA SÔNIA,6gy
ÁGUA BRANCA,6gy
ÁGUA DAS PEDRAS,6gy
ÁGUA SANTA,6gy
