name,ghs
". ANEL VIARIO MUNICIPAL, 0",6gynk
". CAMINHO DE SERVIDAO, 0",6gyn7 6gyney 6gyng 6gyns 6gyns8
". CAMINHO DE SERVIDAO, 191",6gyn7
". CAMINHO DE SERVIDAO, 199",6gyn7
". CAMINHO DE SERVIDAO, 700",6gyn
". CAMINHO DE SERVIDÃO DOMINGOS COLLETTI, 0",6gyn
". CAMINHO PARTICULAR, 0",6gynf
". CORREDOR DE USO COMUM, 0",6gyng
". LOTE INTERNO - LOTEAMENTO AQUARIUS, 0",6gyn
". LOTE INTERNO, 0",6gyn 6gyn7 6gyne 6gynet 6gynev 6gynex 6gyney 6gynez 6gynf 6gyng 6gyngb 6gyns 6gynu 6gyp 6gyp4
". LOTE INTERNO, 1121",6gynex
". LOTE INTERNO, 122",6gynk
". LOTE INTERNO, 1615",6gyney
". ROLADOR, 0",6gyns
". RUA 02 - LOTEAMENTO AQUARIUS, 0",6gyn
". RUA 03 - LOTEAMENTO AQUARIUS, 0",6gyn
". RUA PRINCIPAL 01 - LOTEAMENTO AQUARIUS, 0",6gyn
". SISTEMA DE ACOMP. VIARIO, 0",6gyn 6gyn7 6gyne3 6gynf 6gyng 6gyns 6gynsm 6gynu 6gyp 6gyp4
". TERRENO INTERNO, 0",6gyn 6gyn7 6gyne 6gyned 6gynee 6gynek 6gynes 6gynet 6gynev 6gynex 6gyney 6gynf 6gyng 6gyng4 6gyngb 6gynk 6gyns 6gyns7 6gynsj 6gynsp 6gynu 6gyp
". TERRENO INTERNO, 1139",6gynev
". VIAS PUBLICAS - LOTEAMENTO JARDIM TERRA RICA, 0",6gynk
". VIAS PUBLICAS - LOTEAMENTO NUPEME, 0",6gyns
". VIAS PUBLICAS - LOTEAMENTO PARQUE CONCEIÇÃO II, 0",6gyng 6gyngq
". VIAS PUBLICAS - POMPEIA, 0",6gynk
". VIAS PUBLICAS - TERRAS DI TREVISO(RUA), 0",6gyn
". VIAS PUBLICAS, 0",6gyn 6gyn7 6gyne 6gyneb 6gyng 6gyngb 6gyns 6gynu 6gyp 6gyp4
". VIAS PÚBLICAS - LOTEAMENTO AQUARIUS, 0",6gyn
". VIAS PÚBLICAS - LOTEAMENTO JARDIM SANTANA, 0",6gyng3
". VIAS PÚBLICAS - LOTEAMENTO PREZOTTO, 0",6gyns7
". VIAS PÚBLICAS - LOTEAMENTO SANTA RITA, 0",6gyn
". VIELA DE PASSAGEM, 0",6gyn7 6gyng
"ACESSO FAIXA DO D.E.R., 0",6gynf
"ACESSO TRES - COMVIVA, 0",6gynf
"ACESSO UM - COMVIVA, 0",6gynf
"ALAMEDA ALAMEDA 01 - VILLA D ITALIA II(RUA), 0",6gyns7
"ALAMEDA ALCINDO LOPES LUCAS, 0",6gyne
"ALAMEDA ALCINDO LOPES LUCAS, 257",6gyne
"ALAMEDA ALCINO LOPES LUCAS, 0",6gyne
"ALAMEDA ALCINO LOPES LUCAS, 141",6gyne
"ALAMEDA ANTONIO SERGIO GOMES DE OLIVEIRA, 108",6gyn
