name,ghs
AL 01 (RESERVA SAN PEDRO),6uj
AL A (SANTA LUISA),6unp0
AL ADOLFO SERRA,6unp2
AL AGENOR GELFUSO,6uj
AL AMERICO FALASCO,6ujzr
AL ARTHUR FURQUIM,6unp0
AL ATTILIO BENEDINI,6unp3
AL COSTANTE BUOSI,6ujzp
AL DOMINGOS F. VILLAS BOAS,6unp3
AL DR JOSE ROBERTO FELICIO,6uj 6ujzp
AL DR NEWTON MENDES GARCIA,6ujzp 6unp0
AL EDUARDO CAMPOS,6ujzp
AL FRANCISCO CRISTOFANI,6unp3
AL FRANCISCO LUCIANO LEPERA,6unp0
AL GUSTAVO SIMIONI,6ujzp 6ujzr
AL JANAINA VALENTIM JOSE,6unp3
AL JOAO GARCIA DUARTE NETO,6ujzp 6unp0
AL JOAO PAULO II ( FUTURO PROLON ),6unp2
AL LEO GOMES DE MORAES,6uj
AL NILO VISTOLI,6ujzz
AL OLHOS D AGUA,6unp0
AL PAULO REZENDE DE OLIVEIRA,6unp0 6unp2
AL SEN CARLOS JEREISSATI,6ujzp
AV 02 (MACAUBA),6ujz
AV 2 (PARQUE DAS GAIVOTAS),6unp
AV A  PARQUE DAS OLIVEIRAS - 2. ETAPA,6ujzz
AV A (C.H. ORESTES L.DE CAMARGO ),6ujzz
AV A (TERRAS DE FLORENCA),6ujzp
AV ABD CONSTANTINO,6ujz
AV ADELMO PERDIZZA,6ujzr
AV AFONCO VALERA,6unp 6unp0
AV ALCEU PAIVA ARANTES,6ujzxr
AV ALFREDO RAVANELI,6unp 6unp3 6unp9
AV ALICE DE MOURA BRAGHETTO,6unp2
AV ALTO DA BOA VISTA,6ujzr5 6ujzr7
AV ALVARO DE LIMA,6ujzr 6ujzx
AV ALZIRA COUTO MACHADO,6unp2 6unp29
AV AMERICA DO SUL,6unp8
AV AMERICO DE SOUSA MEIRELLES,6ujzp
AV ANDRADAS DOS,6ujzr 6ujzr7 6ujzrm
AV ANGELO ANTONIO COLAFEMINA,6ujzp 6unp0
AV ANHANGUERA,6ujzr
AV ANICETO DOS SANTOS LOTE,6ujzrj
AV ANTONIO DA COSTA LIMA,6unpb
AV ANTONIO DA COSTA SANTOS,6u 6unpb
AV ANTONIO DIEDERICHSEN,6unp2 6unp2j
AV ANTONIO E HELENA ZERRENNER,6ujzx 6ujzxd
AV ANTONIO GOMES DA SILVA JR,6unp3
AV ANTONIO MACHADO SANT ANNA,6uj 6unp2 6unp29
AV ANTONIO MARCAL,6unp2
AV APARECIDO SAVEGNAGO,6unp2
AV ARLINDO SILVA PIMENTA,6ujzr7 6ujzrk
AV ARSENIO SACILOTTO,6ujzz
AV AUREA APP BRAGHETTO MACHADO,6unp29
AV B (JD DONA BRANCA SALLES),6ujzrj
AV B (PQ DAS OLIVEIRAS I),6ujzz
AV BANDEIRANTES,6ujzr 6ujzx 6ujzxc
AV BAR BANANAL DO,6unp2z 6unp3 6unp8 6unp88
AV BENEDITO RODRIGUES PINHEIRO,6ujzr 6ujzrg
AV BRASIL,6unp8 6unp8m 6unpb
AV BRAZ OLAIA ACOSTA,6ujzr 6ujzrg
AV BRUNO KAUFFMANN (JORNALISTA),6ujzr
AV CAFE DO,6ujzx 6ujzx9 6ujzxc
AV CALIFORNIA,6ujzrg
AV CANDIDO PEREIRA LIMA,6ujz
AV CAP SALOMAO,6ujzx 6unp8 6unp85 6unp86
AV CARAMURU,6ujzr 6ujzx
AV CARLOS CONSONI,6ujzr 6unp2
AV CARLOS DRUMMOND DE ANDRADE,6unp9
AV CARLOS EDUARDO DE G. CONSONI,6unp2 6unp23 6unp29
AV CASPER LIBERO,6ujzr5 6ujzrh 6ujzrk
AV CAV PASCHOAL INNECCHI,6unp8
AV CEL FERNANDO FERREIRA LEITE,6ujzr 6ujzrg
AV CEL QUITO JUNQUEIRA,6unp8 6unp87
AV CELSO DANIEL,6u 6unpb
AV CLOVIS BEVILACQUA,6unp2x 6unp88
AV COSTABILE ROMANO,6unp2
AV DEP SERGIO CARDOSO DE ALMEIDA,6ujzp 6unp0
AV DEZENOVE DE JUNHO,6unp8
AV DOM PEDRO I,6ujzx 6ujzxt 6ujzxu 6ujzxv
AV DORMELIA DE SOUZA MOSCA,6ujzr 6unp2
AV DR AMAURY ELMOR TAVARES,6unp0
AV DR ANGELO GENNARO GALLO,6ujzr
AV DR ANTONIO ALVES PASSIG,6unp9
AV DR ANTONIO UCHOA FILHO,6unp2 6unp2h 6unp2j
AV DR CELSO CHARURI,6unp 6unp2 6unp3
AV DR FERNANDO MENDES GARCIA,6unp 6unp9
AV DR FRANCISCO GUGLIANO,6ujzp
AV DR FRANCISCO JUNQUEIRA,6unp2 6unp2r 6unp8 6unp80 6unp82 6unp84
