name,ghs
6135-2   RUA  13,6unp
AL 01 (RESERVA SAN PEDRO),6uj
AL A (SANTA LUISA),6unp
AL ADOLFO SERRA,6unp2
AL AGENOR GELFUSO,6uj
AL AMERICO FALASCO,6ujzr
AL ARTHUR FURQUIM,6unp
AL ATTILIO BENEDINI,6unp
AL BOTAFOGO,6ujz
AL COSTANTE BUOSI,6ujz
AL DOMINGOS F. VILLAS BOAS,6unp
AL DR JOSE ROBERTO FELICIO,6uj 6ujz
AL DR NEWTON MENDES GARCIA,6unp
AL EDUARDO CAMPOS,6ujz
AL F (ALPHAVILLE RIBEIRAO PRETO),6uj
AL FRANCISCO CRISTOFANI,6unp
AL FRANCISCO LUCIANO LEPERA,6unp
AL GUSTAVO SIMIONI,6ujz 6ujzr
AL JANAINA VALENTIM JOSE,6unp
AL JOAO GARCIA DUARTE NETO,6ujz 6unp
AL JOAO PAULO II ( FUTURO PROLON ),6unp2
AL LEO GOMES DE MORAES,6uj
AL NILO VISTOLI,6ujz
AL OLHOS D AGUA,6unp
AL PAULO REZENDE DE OLIVEIRA,6unp 6unp2
AL SEN CARLOS JEREISSATI,6ujz
AL TUPI,6ujz
AV 02 (MACAUBA),6ujz
AV 1 (LTM SANTA IRIA),6unp
AV 2 (PARQUE DAS GAIVOTAS),6unp
AV A  PARQUE DAS OLIVEIRAS - 2. ETAPA,6ujz
AV A (C.H. ORESTES L.DE CAMARGO ),6ujz
AV A (JD FLORESTAN FERNANDES),6unp
AV A (TERRAS DE FLORENCA),6ujz
AV ABD CONSTANTINO,6ujz
AV ADELMO PERDIZZA,6ujzr
AV AFONCO VALERA,6unp
AV ALCEU PAIVA ARANTES,6ujz
AV ALFREDO RAVANELI,6unp
AV ALICE DE MOURA BRAGHETTO,6unp2
AV ALTO DA BOA VISTA,6ujzr
AV ALVARO DE LIMA,6ujz 6ujzr
AV ALZIRA COUTO MACHADO,6unp2
AV AMERICA DO SUL,6unp
AV AMERICO DE SOUSA MEIRELLES,6ujz
AV ANDRADAS DOS,6ujzr
AV ANGELO ANTONIO COLAFEMINA,6ujz 6unp
AV ANHANGUERA,6ujzr
AV ANICETO DOS SANTOS LOTE,6ujzr
AV ANTONIO DA COSTA LIMA,6unp
AV ANTONIO DA COSTA SANTOS,6unp
AV ANTONIO DIEDERICHSEN,6unp2
AV ANTONIO E HELENA ZERRENNER,6ujz
AV ANTONIO GOMES DA SILVA JR,6unp
AV ANTONIO MACHADO SANT ANNA,6unp2
AV ANTONIO MARCAL,6unp2
AV APARECIDO SAVEGNAGO,6unp2
AV ARLINDO SILVA PIMENTA,6ujzr
AV ARSENIO SACILOTTO,6ujz
AV AUREA APP BRAGHETTO MACHADO,6unp2
AV B (JD DONA BRANCA SALLES),6ujzr
AV B (PQ DAS OLIVEIRAS I),6ujz
AV BANDEIRANTES,6ujz
AV BAR BANANAL DO,6unp 6unp2
AV BENEDITO RODRIGUES PINHEIRO,6ujzr
AV BRASIL,6unp
AV BRAZ OLAIA ACOSTA,6ujzr
AV BRUNO KAUFFMANN (JORNALISTA),6ujzr
AV CAFE DO,6ujz
AV CALIFORNIA,6ujzr
AV CANDIDO PEREIRA LIMA,6ujz
AV CAP SALOMAO,6ujz 6unp
AV CARAMURU,6ujz 6ujzr
AV CARLOS CONSONI,6ujzr 6unp2
AV CARLOS DRUMMOND DE ANDRADE,6unp
AV CARLOS EDUARDO DE G. CONSONI,6unp2
AV CASPER LIBERO,6ujzr
AV CAV PASCHOAL INNECCHI,6unp
AV CEL EDGARD PEREIRA,6ujz
AV CEL FERNANDO FERREIRA LEITE,6ujzr
AV CEL QUITO JUNQUEIRA,6unp
AV CELSO DANIEL,6u 6unp
AV CLOVIS BEVILACQUA,6unp 6unp2
AV COSTABILE ROMANO,6unp2
AV DEP SERGIO CARDOSO DE ALMEIDA,6ujz 6unp
AV DEZENOVE DE JUNHO,6unp
AV DOM PEDRO I,6ujz
AV DORMELIA DE SOUZA MOSCA,6ujzr 6unp2
AV DR AMAURY ELMOR TAVARES,6unp
AV DR ANGELO GENNARO GALLO,6ujzr
AV DR ANTONIO ALVES PASSIG,6unp
AV DR ANTONIO UCHOA FILHO,6unp2
AV DR CELSO CHARURI,6unp 6unp2
AV DR FERNANDO MENDES GARCIA,6unp
AV DR FRANCISCO GUGLIANO,6ujz
AV DR FRANCISCO JUNQUEIRA,6unp 6unp2
