name,ghs
Adutora da Sabesp,6gxpc
Alameda Adriano Neiva da Motta e Silva (de Vaney),6gxp9
Avenida 927,6gxp
Avenida Affonso Penna,6gxp9 6gxpd
Avenida Afonso Schmidt,6gxp
Avenida Alberto de Carvalho,6gxp
Avenida Almirante Cochrane,6gxpd
Avenida Almirante Saldanha da Gama,6gxpd
Avenida Anna Costa,6gxp9 6gxpc
Avenida Antonio Prado,6gxp 6gxpc 6gxpd
Avenida Antônio Guenaga,6gxpd
Avenida BANDEIRANTES (MORRO),6gxpc
Avenida Bandeirantes,6gxp
Avenida Bartholomeu de Gusmão,6gxp9 6gxpd
Avenida Barão de Penedo,6gxp9
Avenida Bernardino de Campos,6gxp9 6gxpc
Avenida Brasil,6gxpc
Avenida Brigadeiro Faria Lima,6gxp
Avenida Campos Salles,6gxp 6gxpc
Avenida Cidade de Santos,6gxp
Avenida Conselheiro Nébias,6gxp9 6gxpc
Avenida Conselheiro Rodrigues Alves,6gxp 6gxp9 6gxpd
Avenida Coronel Joaquim Montenegro,6gxpd
Avenida Cândido Gaffrée,6gxp 6gxpc 6gxpd
Avenida Dino Bueno,6gxpd
Avenida Doutor Cláudio Luiz da Costa,6gxpc
Avenida Doutor Epitácio Pessoa,6gxp9 6gxpd
Avenida Doutor Esmeraldo Soares Tarquínio de Campos Filho,6gxpd
Avenida Doutor Frederico de Figueiredo Neiva,6gxp
Avenida Doutor Haroldo de Camargo,6gxp
Avenida Doutor Moura Ribeiro,6gxp9
Avenida Doutor Nilo Peçanha,6gxp9 6gxpc
Avenida Doutor Pedro Lessa,6gxp9 6gxpd
Avenida Doutor Rosário Baptista Conte,6gxp 6gxpc
Avenida Doutor Waldemar Leão,6gxpc
Avenida Eduardo Palassin Guinle,6gxp 6gxpd
Avenida Eleonor Roosevelt,6gxp
Avenida Engenheiro Antonio Alves Freire,6gxpc
Avenida Engenheiro Augusto Barata,6gxpc
Avenida Engenheiro Eduardo de Magalhães Gama,6gxp 6gxpc
Avenida Engenheiro Luiz La Scala Júnior,6gxpc
Avenida Engenheiro Manoel Ferramenta Júnior,6gxp
Avenida Francisco Ferreira Canto,6gxp
Avenida Francisco Manoel,6gxpc
Avenida Francisco Ribeiro,6gxp
Avenida Francisco da Costa Pires,6gxp
Avenida General Francisco Glycerio,6gxp9
Avenida General San Martin,6gxpd
Avenida Getúlio Dornelles Vargas,6gxpc
Avenida Governador Fernando Costa,6gxpd
Avenida Governador Mário Covas Júnior,6gxp 6gxpd
Avenida Guilherme Russo,6gxpc
Avenida Hugo Maia,6gxp
Avenida Ismael Coelho de Souza,6gxp
Avenida Jornalista Paulo Matos,6gxp
Avenida Jovino de Mello,6gxp
Avenida João Pessoa,6gxp 6gxpc
Avenida Marechal Deodoro,6gxp9
Avenida Marechal Floriano Peixoto,6gxp9
Avenida Marginal da Via Anchieta,6gxp
Avenida Martins Fontes,6gxpc
Avenida Nossa Senhora de Fátima,6gxp 6gxpc
Avenida Nossa Senhora do Monte Serrat,6gxpc
Avenida Ozório de Almeida,6gxp 6gxpd
Avenida Prefeito Doutor Antônio Manoel de Carvalho,6gxp9 6gxpc
Avenida Presidente Wilson,6gxp9
Avenida Professor Aristóteles Menezes,6gxpd
Avenida Rangel Pestana,6gxpc
Avenida Rei Alberto I,6gxpd
Avenida Roberto de Molina Cintra,6gxp
Avenida Santista,6gxpc
Avenida Santo Antônio do Valongo,6gxpc
Avenida Senador Cesar Lacerda de Vergueiro,6gxpd
Avenida Senador Dantas,6gxpd
Avenida Senador Feijó,6gxp9 6gxpc
Avenida Senador Pinheiro Machado,6gxp9 6gxpc
Avenida Siqueira Campos,6gxp9 6gxpd
Avenida São Cristóvão,6gxpc
Avenida São Francisco,6gxp 6gxpc
Avenida Vereador Alfredo das Neves,6gxp
