name,ghs
ALAMEDA 9 DE OUTUBRO,6gych
ALAMEDA DA JUSTIÇA,6gych
ALAMEDA DAS GLICÍNIAS,6gy
ALAMEDA DAS OLIVEIRAS,6gych 6gych2
ALAMEDA DOM  PEDRO DE ALCÂNTARA,6gyc 6gychu
ALAMEDA DONA  TEREZA CRISTINA,6gychs 6gychu
ALAMEDA DOS PINHEIRAIS,6gy
ALAMEDA FLOR DE PESSEGUEIRO,6gy
ALAMEDA GLÓRIA,6gych 6gychs
ALAMEDA PRINCEZA  IZABEL,6gychs 6gychu
ALAMEDA PRINCEZA  JANUÁRIA,6gych
ALAMEDA YAKULT,6gy
AVENIDA 11 DE AGOSTO,6gyck
AVENIDA 31 DE MARÇO,6gyc7 6gyck
AVENIDA ALBERT SCHWEITZER,6gych 6gychb
AVENIDA ALDINO PINOTTI,6gych 6gyck
AVENIDA ALFRED JURZYKOWSKI,6gyck
AVENIDA AMAZONAS (RIACHO GRANDE),6gy
AVENIDA ANTÁRTICO,6gych
AVENIDA ANTÔNIO TONETTO,6gy
AVENIDA ARAGUAIA,6gy
AVENIDA ARMANDO ITALO SETTI,6gych
AVENIDA BALNEÁRIA,6gy
AVENIDA BARÃO DE  MAUÁ,6gych 6gychq
AVENIDA BEETHOVEN,6gy
AVENIDA BEZERRA DE MENEZES,6gyc
AVENIDA BISPO  CESAR DACORSO FILHO,6gyck
AVENIDA BRIGADEIRO  FARIA LIMA,6gych 6gychs
AVENIDA BUNDUKI,6gych1 6gych3
AVENIDA CAMINHO DO MAR,6gyck
AVENIDA CAPITÃO  CASA,6gy 6gych 6gych2
AVENIDA CARMELO MAMMANA,6gy
AVENIDA CONDE DE  SÃO LOURENÇO,6gy
AVENIDA CORAÇÃO EUCARÍSTICO DE JESUS,6gy
AVENIDA CORONEL  FRANCISCO RODRIGUES SECKLER,6gyc7 6gyck
AVENIDA CÉZAR MAGNANI,6gyck
AVENIDA DA PRAIA,6gy
AVENIDA DAS ANDORINHAS,6gych
AVENIDA DAS ARARAS,6gyc 6gych
AVENIDA DAS NAÇÕES UNIDAS,6gych
AVENIDA DAS ROSAS,6gych
AVENIDA DINO GABRIEL,6gych 6gychu
AVENIDA DO TABOÃO,6gyc7 6gyck
AVENIDA DOM  JAIME DE BARROS CÂMARA,6gych
AVENIDA DOMINGOS POTOMATI,6gy
AVENIDA DOS FLAMINGOS,6gyc
AVENIDA DOUTOR  CARLOS DE CAMPOS,6gyck
AVENIDA DR.  JOSÉ FORNARI,6gy 6gych 6gychb
AVENIDA DR.  RUDGE RAMOS,6gyc7 6gyck
AVENIDA DR.  WASHINGTON LUIZ,6gyck
AVENIDA EDILÚ,6gyc
AVENIDA EDMAR L. A. RABELO,6gychb
AVENIDA FELIPPE COMÉRCIO,6gy 6gychb
AVENIDA FERNANDO FERRARI,6gychb
AVENIDA FRANCISCO FINCO,6gy
AVENIDA FRANCISCO PRESTES MAIA,6gychf 6gychg 6gychs 6gychu
AVENIDA GASTÃO CASTRO CAMORIM,6gyc7
AVENIDA GENERAL  BARRETO DE MENEZES,6gy
AVENIDA GETÚLIO VARGAS,6gych 6gyck
AVENIDA GIOVANNI BATTISTIN - EX-COMBATENTE DA F.E.B.,6gyc7
AVENIDA HELVÉTIA,6gyc7
AVENIDA HORÁCIO BARIONI,6gyc
AVENIDA HUMBERTO DE ALENCAR CASTELO BRANCO,6gyc 6gych 6gych1 6gych4
AVENIDA I (VILA NOVA SANTA LUZIA),6gyc7
AVENIDA IMPERADOR  PEDRO II,6gych 6gychu
AVENIDA IMPERATRIZ  LEOPOLDINA,6gychs 6gychu
AVENIDA ISAAC AIZEMBERG,6gyc 6gych 6gychj
AVENIDA IVANOVSKY,6gy
AVENIDA IVAÍ,6gy
AVENIDA JOAQUIM GONÇALVES LEDO,6gyc
AVENIDA JOSÉ ARTUR DA FROTA MOREIRA,6gychb
AVENIDA JOSÉ ODORIZZI,6gyc 6gych
AVENIDA JOÃO FIRMINO,6gy 6gych 6gych1 6gych3 6gych6
AVENIDA JUAREZ TAVORA,6gy
AVENIDA JUSCELINO KUBITSCHEK,6gyc
AVENIDA KENNEDY,6gych 6gyck
AVENIDA LAURA,6gy
AVENIDA LAURO GOMES,6gyck
AVENIDA LONDRES,6gyc
AVENIDA LUCAS NOGUEIRA GARCEZ,6gych
AVENIDA LUIZ PEQUINI,6gyc 6gych
AVENIDA MARECHAL  BERNARD MONTGOMERY,6gy
AVENIDA MARGINAL AO CÓRREGO FEITAL,6gych
AVENIDA MARGINAL AO CÓRREGO PINDORAMA,6gyck
AVENIDA MARGINAL AO CÓRREGO TAIOCA,6gych 6gyck
AVENIDA MARGINAL DIREITA A VIA ANCHIETA,6gyc7 6gych 6gychb 6gyck
AVENIDA MARGINAL ESQUERDA A VIA ANCHIETA,6gyck
AVENIDA MARIA SERVIDEI DEMARCHI,6gy 6gych
AVENIDA MARIO ALBERTO MARCHI,6gy
