name,ghs
ALTO DA SERRA,6gyb
ALVES DIAS,6gy
ANCHIETA,6gy
ASSUNÇÃO,6gy
BAETA NEVES,6gy
BALNEÁRIA,6gyb
BATISTINI,6gybg
BOTUJURU,6gyb
CAPIVARI,6gyb
CENTRO,6gy
COOPERATIVA,6gy
CURUCUTU,6gyb
DOS ALVARENGA,6gybg
DOS CASA,6gyb
DOS FINCO,6gyb
DOS IMIGRANTES,6g
FERRAZÓPOLIS,6gyb
INDEPENDÊNCIA,6gy
JORDANÓPOLIS,6gy
MONTANHÃO,6gyb
NOVA PETRÓPOLIS,6gy
PAULICÉIA,6gy
PLANALTO,6gy
RIO GRANDE,6gyb
RIO PEQUENO,6gyb
RUDGE RAMOS,6gy
SANTA CRUZ,6gyb
SANTA TEREZINHA,6gy
TABOÃO,6gy
TAQUACETUBA,6gyb
TATETOS,6gyb
VARGINHA,6gyb
ZANZALÁ,6gyb
