name,ghs
ALAMEDA 9 DE OUTUBRO,6gych
ALAMEDA DA  JUSTIÇA,6gych
ALAMEDA DAS  AMEIXEIRAS,6gyb
ALAMEDA DAS  AVENCAS,6gyb
ALAMEDA DAS  GLICÍNIAS,6gyb
ALAMEDA DAS  OLIVEIRAS,6gych
ALAMEDA DAS  PARREIRAS,6gyb
ALAMEDA DAS PAINEIRAS (VILA DO BOSQUE),6gybu
ALAMEDA DO  VIANA,6gyb7
ALAMEDA DOM PEDRO DE ALCÂNTARA,6gych
ALAMEDA DONA TEREZA CRISTINA,6gych
ALAMEDA FLOR DE PESSEGUEIRO,6gyb
ALAMEDA GLÓRIA,6gych
ALAMEDA GLÓRIA - TRECHO NÃO ABERTO,6gych
ALAMEDA MINAS GERAIS (NÚCLEO PARQUE SÃO BERNARDO),6gyc
ALAMEDA PRINCEZA IZABEL,6gych
ALAMEDA PRINCEZA JANUÁRIA,6gych
ALAMEDA YAKULT,6gybt
AVENIDA 1001 (JARDIM LAURA),6gybg
AVENIDA 11 DE AGOSTO,6gyc
AVENIDA ALDINO PINOTTI,6gych
AVENIDA ALFRED JURZYKOWSKI,6gyc
AVENIDA AMAZONAS (RIACHO GRANDE),6gybt
AVENIDA ANTÁRTICO,6gych
AVENIDA ANTÔNIO TONETTO,6gyb
AVENIDA ARAGUAIA,6gybt
AVENIDA BALNEÁRIA,6gybu
AVENIDA BEETHOVEN,6gybu
AVENIDA BEZERRA DE MENEZES,6gyc
AVENIDA BEZERRA DE MENEZES (PROLONGAMENTO),6gyc
AVENIDA BUNDUKI,6gych
AVENIDA CLÁUDIA,6gych
AVENIDA CONDE DE SÃO LOURENÇO,6gyb
AVENIDA CORAÇÃO EUCARÍSTICO DE JESUS,6gyb
AVENIDA CORONEL FRANCISCO RODRIGUES SECKLER,6gyc
AVENIDA CÉZAR MAGNANI,6gyc
AVENIDA DA  PRAIA,6gybt
AVENIDA DAS  ANDORINHAS,6gych
AVENIDA DAS  ARARAS,6gych
AVENIDA DAS  ROSAS,6gych
AVENIDA DIAMANTE (PARQUE TURMALINA),6gyb7
AVENIDA DINO GABRIEL,6gych
AVENIDA DOM JAIME DE BARROS CÂMARA,6gych
AVENIDA DOMINGOS POTOMATI,6gybg
AVENIDA DOS  FLAMINGOS,6gyc
AVENIDA DOUTOR CARLOS DE CAMPOS,6gyc
AVENIDA DR. WASHINGTON LUIZ,6gyc
AVENIDA ESMERALDA,6gyb7
AVENIDA FELIPPE COMÉRCIO,6gych
AVENIDA FERNANDO FERRARI,6gych
AVENIDA FRANCISCO FINCO,6gyb
AVENIDA FÊNIX,6gyc
AVENIDA GASTÃO CASTRO CAMORIM,6gyc
AVENIDA GIOVANNI BATTISTIN - EX-COMBATENTE DA F.E.B.,6gyc
AVENIDA GUATEMALA,6gybg
AVENIDA HELVÉTIA,6gyc
AVENIDA HORÁCIO BARIONI,6gyc
AVENIDA I (VILA NOVA SANTA LUZIA),6gyc
AVENIDA IMPERATRIZ LEOPOLDINA,6gych
AVENIDA IRINEU BENTO,6gybe
AVENIDA IVANOVSKY,6gybu
AVENIDA IVAÍ,6gybt
AVENIDA JOAQUIM GONÇALVES LEDO,6gyc
AVENIDA JOSÉ ARTUR DA FROTA MOREIRA,6gych
AVENIDA LAURA,6gybg
AVENIDA LONDRES,6gyc
AVENIDA MANAUS,6gyb
AVENIDA MARECHAL BERNARD MONTGOMERY,6gyb
AVENIDA MARGINAL AO CÓRREGO FEITAL,6gyc
AVENIDA MARGINAL AO CÓRREGO TAIOCA,6gych
AVENIDA MARIO ALBERTO MARCHI,6gybg
AVENIDA MARQUÊS DE BARBACENA,6gyb
AVENIDA MINISTRO OSWALDO ARANHA,6gyc
AVENIDA MOINHO FABRINI,6gych
AVENIDA MONTEMOR,6gybg
AVENIDA NELSON MANDELA,6gyc
AVENIDA NELSON MANDELA - PROLONGAMENTO,6gyc
AVENIDA OCTÁVIO CORLETTO - EX-COMBATENTE DA F.E.B.,6gyc
AVENIDA OLINTO DEMARCHI - EX-COMBATENTE DA F.E.B.,6gyc
AVENIDA OMAR DAIBERT,6gybu
AVENIDA ORESTE ROMANO,6gych
AVENIDA ORLANDO ANGELO GASTALDO - EX-COMBATENTE DA F.E.B.,6gyc
AVENIDA PAULO AFONSO,6gych
AVENIDA PEDRO COSTA,6gych
AVENIDA PEDRO MENDES,6gyb
AVENIDA PLÍNIO BARRETO,6gyc
AVENIDA PRESIDENCIAL,6gybu
AVENIDA PRESIDENTE ARTHUR BERNARDES,6gyc
AVENIDA PRESIDENTE JOÃO GOULART,6gyc
AVENIDA PÉROLA NEGRA,6gybu
AVENIDA QUATRO (PARQUE JANDAIA),6gyb
AVENIDA REDENÇÃO,6gych
AVENIDA RIO GRANDE (JARDIM RIO GRANDE),6gyb
AVENIDA RIO XINGU,6gybt
AVENIDA SAFIRA,6gyb7
AVENIDA SENADOR FLAQUER,6gych
