name,ghs
Abel- Vl,6gz
Acacias- Vl,6gz
Adriana- Vl,6gz
Adyana- Vl,6gz
Aeroporto- Jd,6gz
Alexandrina- Vl,6gz
Alphaville - RES,6gz
Alto da Vl Paiva,6gz
Alto dos Ypês - Res,6gz
Altos Esplanada- Jd,6gz
Altos da Ponte,6gz
Altos da Quinta,6gz
Altos de Santana,6gz
Altos do Bosque- Res,6gz
Alvorada- Jd,6gz
America- Jd,6gz
Americano- Jd,6gz
Ana Maria- Res,6gz
Anchieta- Jd,6gz
Anhembi-JD,6gz
Aparecida- Jd,6gz
Apolo I- Jd,6gz
Apolo II- Jd,6gz
Aquarius- Jd,6gz
Aquarius- Pq Res,6gz
Armando M. Righi- Res,6gz
Augusta- Jd,6gz
Azaleias- Jd das,6gz
Azevedo- Jd,6gz
Bandeirante- Vl,6gz
Bandeirantes- Jd dos,6gz
Bela Vista- Jd,6gz
Bell Park- Res,6gz
Benedito- Vl Sao,6gz
Bento- Vl Sao,6gz
Betania,6gz
Boa Esperança I,6gz
Boa Esperança II,6gz
Boa Esperança III,6gz
Boa Vista- Jd,6gz
Bom Retiro,6gz
Bosque Imperial,6gz
Bosque dos Eucaliptos,6gz
Bosque dos Ipes,6gz
Brasilia- Jd,6gz
CTA,6gz
Caete- Rec,6gz
Cambui- Res,6gz
Caminho das Montanhas- Res,6gz
Campo Belo- Res,6gz
Campo dos Alemaes,6gz
Campos de Sao Jose,6gz
Candida- Vl,6gz
Cardoso- Vl,6gz
Carmo- Vl,6gz
Cassiano Ricardo- Jd,6gz
Castanheiras- Jd,6gz
Centro,6gz
Centro Empresarial Taquari,6gz
Cerejeiras- Jd,6gz
Cesar- Vl,6gz
Ceu- Jd do,6gz
Chacaras Reunidas,6gz
Chiquinha- Vl,6gz
Cidade Jardim- Conj Res,6gz
Colinas do Parahyba- Res,6gz
Colinas do Paratehy,6gz
Colinas-Jd,6gz
Colonia Paraiso,6gz
Colonial- Jd,6gz
Colorado- Jd,6gz
Cond Res Prof Walter Bevilacqua,6gz
Copacabana- Jd,6gz
