name,ghs
01,6gz
02,6gz
03,6gz
04,6gz
05,6gz
06,6gz
07,6gz
08,6gz
09,6gz
1,6gz
10,6gz
11,6gz
12,6gz
13,6gz
14,6gz
15,6gz
16,6gz
17,6gz
18,6gz
19,6gz
1ª Tv. Mato Dentro,6gz
1ª Tv.do Bom Retiro,6gz
2,6gz
20,6gz
21,6gz
22,6gz
23,6gz
24,6gz
25,6gz
26,6gz
27,6gz
28,6gz
29,6gz
2ª Tv. Bom Retiro,6gz
2ª Tv. Mirim,6gz
3,6gz
30,6gz
34,6gz
39,6gz
3° SRG ALEXANDRE DE SOUZA ROBERTO,6gz
4,6gz
40,6gz
41,6gz
4A,6gz
5,6gz
5A,6gz
5ª Tv. Mato Dentro,6gz
6,6gz
6ª Tv. Mato Dentro,6gz
7,6gz
8,6gz
9,6gz
A,6gz
ABEL BENTO DA SILVA,6gz
ABEL DE PAULA,6gz
ACEDRO RUSTON,6gz
ADAILTON MIGUEL DE LIMA,6gz
ADELINA DELGADO MOTTA,6gz
AGENOR ANTONIO DE MORAIS,6gz
AGUAS DE MARCO,6gz
AGUAÍ,6gz
AGUIAS,6gz
AILDA FARTES DE PAIVA,6gz
ALBERTO DE MORAES BITTENCOURT SIMOES,6gz
ALBINO RAIMUNDO NUNES,6gz
ALCEU ANDRADE,6gz
ALCIDES SALGADO,6gz
ALDO MOREIRA DOS SANTOS,6gz
ALEX DANIEL DE SOUZA,6gz
ALEXANDRITA,6gz
ALICE NOGUEIRA MACHADO,6gz
ALISSON GERALDO DA SILVA VITOR,6gz
ALTO CAMPESTRE,6gz
ALVARO PINHEIRO MENDONÇA,6gz
AMADEU PRUDENTE DOS SANTOS,6gz
AMBROZINA SABINO MARTINS,6gz
AMERICO FILIPE DE AZEVEDO,6gz
ANA LUCIA CHERUBINI E SILVA,6gz
ANA MARIA DE JESUS LUCIO,6gz
ANA PAULA NUNES DUTRA,6gz
ANDRÉ NESTOR ESCOBAR BERTIN,6gz
ANGELA CODELLO BERTTI,6gz
ANGELINA DE SOUZA MACHADO,6gz
ANGELO DIAS DA COSTA,6gz
ANHUMA,6gz
ANITA MALAFATTI,6gz
ANTOINETTE MELHEM EL KHOUI NICOLAS,6gz
ANTONIA ROSA BATISTA COLOMBANI,6gz
ANTONIO AURELIO MONTEIRO DE BARROS,6gz
ANTONIO BERNARDO HEMKEMIER,6gz
ANTONIO DA COSTA NUNES,6gz
ANTONIO DE MORAES BARROS,6gz
ANTONIO FERNANDO BATISTA,6gz
ANTONIO GERMANO DOS SANTOS,6gz
ANTONIO MARCOS DE OLIVEIRA,6gz
ANTONIO RIGOBELI,6gz
ANTONIO SANTOS,6gz
ANTONIO SUDARIO FERREIRA,6gz
APARECIDA FRANCISCO FAVARO,6gz
APARECIDA NOGUEIRA ROSSI,6gz
AQUARELA DO BRASIL,6gz
ARAPAÇUS,6gz
ARAPEÍ,6gz
ARAUCÁRIAS,6gz
AREIAS,6gz
ARLENE MENNA BARRETO,6gz
ARLINDO FLAUZINO PEREIRA,6gz
ARLINDO STEFANELI,6gz
ARMANDO GOMES DE ALMEIDA,6gz
ARTHUR DE LACERDA PINHEIRO,6gz
AURELIO PORTILHO CASTELLANOS,6gz
AVELINA DIAS DE SOUZA,6gz
AZULÕES,6gz
Ac. para Term. Rodoviário,6gz
Alameda Beethoven,6gz
Alameda Chopin,6gz
Alameda Comercial,6gz
Alameda Dutra,6gz
Alameda Harvey C Weeks,6gz
Alameda José Alves Siqueira Filho,6gz
Alameda José Paula da Silva,6gz
Alameda Mozart,6gz
Alameda Ravel,6gz
Alameda Rio Danúbio,6gz
Alameda Rio Negro,6gz
Alameda Urupema,6gz
Alameda Vivaldi,6gz
Alameda da Floresta,6gz
Alameda das Laranjeiras,6gz
Alameda das Mangueiras,6gz
Alameda do COCTA,6gz
Alameda do IAE,6gz
Alameda do IFI,6gz
Alameda do ITA,6gz
Alameda do Observatório,6gz
Alameda dos Betas,6gz
Alameda dos Pinheiros,6gz
Avenida 1,6gz
Avenida 8 de Dezembro,6gz
Avenida Adonias da Silva,6gz
Avenida Aeroporto,6gz
Avenida Agenor Xavier de Oliveira,6gz
Avenida Alfredo Ignácio N Penido,6gz
Avenida Alto do Rio Doce,6gz
Avenida Anchieta,6gz
Avenida Andrômeda,6gz
Avenida Antonia Natália Campos de Assis,6gz
Avenida Antônio Joaquim Alvarenga Filho,6gz
Avenida Arnaldo dos Santos Cerdeira,6gz
Avenida Arthur Antônio dos Santos,6gz
Avenida Barbacena,6gz
Avenida Barão do Rio Branco,6gz
Avenida Basílio Duarte,6gz
Avenida Benedito Bento,6gz
Avenida Benedito Domingues de Oliveira,6gz
Avenida Brasil,6gz
Avenida C Dez,6gz
Avenida Cajuru,6gz
Avenida Campos Elíseos,6gz
Avenida Canadá,6gz
Avenida Carlos Alberto de Andrade Silva,6gz
Avenida Carlos Saloni,6gz
Avenida Cassiano Ricardo,6gz
Avenida Cassiopéia,6gz
Avenida Celuta Barbosa Mendonça,6gz
Avenida Central,6gz
Avenida Cesare Monsueto Giulio Lattes,6gz
Avenida Cidade Jardim,6gz
Avenida Comendador Vicente Paulo Penido,6gz
