name,ghs
AC  A AV DOS BANDEIRANTES,6gyc9y
AC  ESQ A AV OTAVIANO A DE LIMA,6gyf4p
AC  SEM DEN (JD CAPAO REDONDO),6gy9r
AC  SEM DENOMINACAO (JRA),6gyf0
AL  AFONSO BOCCHIGLIERI,6gyc38
AL  AFONSO SCHMIDT,6gyf6 6gyf6d 6gyf6f 6gyf6g
AL  ALVARO DE MORAIS,6gycd
AL  APETUPAS,6gycd 6gycdk 6gycdt
AL  ARISTOTELES CLAUDIO SBRIGHI,6gydx
AL  BARROS,6gyf45 6gyf46 6gyf47
AL  CALCUTA,6gyc91
AL  CALICUT,6gyc90 6gyc91
AL  CAMPINAS,6gycf 6gycfh 6gycfk
AL  CANTO DAS AGUAS,6gyf9 6gyfd
AL  CANURI,6gycd
AL  CARLOS MARCHAIS,6gy9p
AL  CASA BRANCA,6gycf 6gycfn
AL  CLEVELAND,6gyf4 6gyf4s
AL  DINO BUENO,6gyf4 6gyf4s
AL  EDUARDO PRADO,6gyf47 6gyf4k 6gyf4s
AL  FERNAO CARDIM,6gycf
AL  FRANCA,6gycf 6gycfn
AL  GABRIEL MONTEIRO DA SILVA,6gycc 6gyccs 6gycct 6gyccv 6gyccy
AL  GLETE,6gyf4 6gyf47 6gyf4s
AL  GUAIRACA,6gycdt
AL  IBIRACEMAS,6gyc6
AL  IRAE,6gycd
AL  ITU,6gycf 6gycfn
AL  ITUPIRANGA,6gycek
AL  JAU,6gycf 6gycfn
AL  JAUAPERI,6gyc9v 6gyc9y 6gycd
AL  JOAQUIM EUGENIO DE LIMA,6gycf 6gycfh 6gycfk 6gycfr 6gycfw
AL  JOAQUIM JOSE DE MATTOS,6gyf6t
AL  JOSE LOPES DE ALMEIDA,6gy9re
AL  LORENA,6gyccy 6gyccz 6gycf 6gycfk 6gycfn
AL  MACIEIRA DA MAIA,6gycd7
AL  MARUAS,6gycd7 6gycde
AL  NOTHMANN,6gyf4 6gyf47 6gyf4s
AL  OLGA,6gyf4h
AL  RAINHA SANTA,6gycuz
AL  RAJA GABAGLIA,6gycc
AL  RIBEIRAO PRETO,6gycf 6gycfw
AL  RIBEIRO DA SILVA,6gyf4 6gyf47 6gyf4d 6gyf4k 6gyf4s
AL  RIO CLARO,6gycf 6gycfr
AL  RODRIGO DE BRUM,6gyfq 6gyfq9
AL  RUBIAO JUNIOR,6gycg 6gycgx
AL  SANTOS,6gycf 6gycfn
AL  SARUTAIA,6gycf
AL  SUZANA,6gyc6
AL  TIETE,6gycf 6gycfn
AL  TIRIO,6gycd
AL  UANANA,6gycd
AL  UAPIXANA,6gycd 6gycdh 6gycdk
AL  VICENTE PINZON,6gycc
AL BR DE LIMEIRA,6gyf4 6gyf47 6gyf4d 6gyf4k
AL BR DE PIRACICABA,6gyf4 6gyf4s
AL DAS AMOREIRAS,6gyf85
AL DAS ANDORINHAS,6gyf
AL DAS BONINAS,6gycdw
AL DAS CAROBINHAS,6gyc4
AL DAS LIMEIRAS,6gyf85
AL DAS PALMEIRAS,6gyf85
AL DAS PITANGUEIRAS,6gyf85
AL DAS PITANGUEIRAS (SEGUNDO TRECHO),6gyf85
AL DAS QUARESMEIRAS,6gyc91
AL DOS AICAS,6gycd 6gycdh 6gycdj
AL DOS ANAPURUS,6gycd 6gycdh 6gycdj
AL DOS ARAES,6gycd 6gycdh 6gycdk 6gycdt
AL DOS ARAPANES,6gyc9v 6gyc9y 6gycd 6gycdj
AL DOS AUETIS,6gycd 6gycdw
AL DOS BEIJA-FLORES,6gyf
AL DOS CAMAIURAS,6gycd
AL DOS CANARIOS,6gyf
AL DOS CARDEAIS,6gyf
AL DOS CIPRESTES,6gyc91
AL DOS CONTADORES,6gycv3 6gycv6
AL DOS GUAIASES,6gycd
AL DOS GUAICANAS,6gycd 6gycdk 6gycds 6gycdt
AL DOS GUAINUMBIS,6gycd 6gycdk 6gycdt
AL DOS GUAIOS,6gycd 6gycdd
AL DOS GUARAMOMIS,6gycd 6gycdh 6gycdj
AL DOS GUATAS,6gycdd 6gycdf 6gycdk 6gycds 6gycdt
AL DOS INDIGENAS,6gycd
AL DOS JAUNAS,6gycf
AL DOS JURUPIS,6gycd 6gycdj
AL DOS MARACATINS,6gycd 6gycdj
AL DOS NHAMBIQUARAS,6gycd 6gycdh 6gycdj 6gycdw
AL DOS PAMARIS,6gyc9v 6gycdj
AL DOS PINHEIROS,6gyf85
AL DOS PINTASSILGOS,6gyf
AL DOS PIRATININS,6gycd7 6gycd9 6gycdd 6gycdf 6gycdk 6gycds
AL DOS QUINIMURAS,6gycdk 6gycds
AL DOS SABIAS,6gyf
AL DOS SALGUEIROS,6gyf85
AL DOS SORIMAS,6gycd7 6gycde 6gycds
AL DOS TACAUNAS,6gycd7 6gycde 6gycds
AL DOS TUCANOS,6gyf
AL DOS TUPINAS,6gycd 6gycdd 6gycde
AL DOS TUPINIQUINS,6gycd 6gycdh 6gycdj
AL DOS UAPES,6gycd 6gycdk 6gycdt
AL DOS UBIATANS,6gycdd 6gycde
AL DR SILVIO DE CAMPOS,6gyc69
AL MIN ROCHA AZEVEDO,6gycf 6gycfn 6gycfr
AL PSARG BASILIO NOGUEIRA DA COSTA,6gyfh
AL PSARG OSMAR CORTES CLARO,6gyfk
AL SBTTE FRANCISCO HIERRO,6gyfh
AL SSARG ANANIAS HOLANDA DE OLIVEIRA,6gyfh
AL SSARG ANDIRAS NOGUEIRA DE ABREU,6gyfh
AL SSARG ASSAD FERES,6gyfh
AL SSARG FABIO PAVANI,6gyfk
AL SSARG GERALDO BERTI,6gyfk 6gyfk1
AL SSARG JOSE PESSOTO SOBRINHO,6gyfh
AL SSARG NEVIO BARACHO DOS SANTOS,6gyfh
AL SSARG RUBENS LEITE,6gyfk
AL STO AMARO,6gyc3 6gyc3j
AL TSARG ALCIDES DE OLIVEIRA,6gyfk
AV  ABANEIRO,6gyfjc
AV  ABILIO PEREIRA DE ALMEIDA,6gycb5 6gycbh
AV  ABRAHAO GONCALVES BRAGA,6gyce
AV  ACADEMIA DE SAO PAULO,6gz42 6gz423 6gz426 6gz429
AV  ACOCE,6gycd
AV  ADELIA CHOHFI,6gycw 6gycw7 6gycwk
AV  ADELINA ABRANCHES,6gyb9 6gybc8
AV  ADELINO JORGE MONTENEGRO,6gyfm8
AV  ADOLFO COELHO,6gyf6 6gyf6w
AV  ADOLFO PINHEIRO,6gyc3 6gyc3n 6gyc3q 6gyc9 6gyc92 6gyc93
AV  ADRIANO BERTOZZI,6gycy 6gycz
AV  ADUTORA DO RIO CLARO,6gyctx
AV  AFONSO DE SAMPAIO E SOUSA,6gycy 6gycyw
AV  AFONSO LOPES DE BAIAO,6gyfpp 6gyfq 6gyfr 6gyfr1 6gyfr4
AV  AFONSO MARIANO FAGUNDES,6gycdk 6gycds 6gycdt
AV  AFRANIO PEIXOTO,6gycc 6gyccj
AV  AGAMI,6gycd
AV  AGENOR COUTO DE MAGALHAES,6gyf2 6gyf2k 6gyf2m 6gyf2q
AV  AGENOR DE OLIVEIRA,6gyc2 6gyc23
AV  AGOSTINHO RUBIN,6gy9r 6gy9ru
AV  AGUA FRIA,6gyf7 6gyf7h 6gyf7j 6gyf7n
AV  AGUA FUNDA,6gycd 6gycdb 6gycdc
AV  AGUA VERMELHA,6gyfpu 6gyfpv 6gyfpw 6gyfpx 6gyfpy
AV  AGUAS DE SAO PEDRO,6gyf7h 6gyf7k
AV  AGUIA DE HAIA,6gyfn 6gyfn4 6gyfn7 6gyfnk 6gyfnr 6gyfq2
AV  AGUIAR DA BEIRA,6gycv7 6gycvk 6gycvm
AV  AIRTON PRETINI,6gyfh 6gyfhs
AV  AJARANI,6gyfjd
AV  ALBERT BARTHOLOME,6gycb 6gycb6
AV  ALBERT EINSTEIN,6gyc8 6gycb
AV  ALBERTO AUGUSTO ALVES,6gyc8 6gyc82
AV  ALBERTO BYINGTON,6gyf5z 6gyf7 6gyf7b 6gyfk1
AV  ALBERTO CAMUS,6gycv 6gycvm
AV  ALBERTO DE FARIA CARDOSO,6gycbk
AV  ALBERTO FONTANA,6gyc7
AV  ALBERTO RAMOS,6gycu
AV  ALBERTO VICENTE CARDOSO,6gy9rf 6gyc24 6gyc25
AV  ALCANTARA MACHADO,6gyf5 6gyf50 6gyf53 6gyf5c 6gyf5f
AV  ALCIDES SANGIRARDI,6gycc
AV  ALCINDO FERREIRA,6gyc 6gyc1 6gyc3
AV  ALDA,6gyc 6gyc4
AV  ALDEIA MANUEL ANTONIO,6gyfn 6gyfn4
AV  ALDO JOAO RINALDI,6gyc4
AV  ALDO RIBEIRO LUZ,6gyf3n
AV  ALEXANDRE COLARES,6gyf0 6gyf0r 6gyf2
AV  ALEXANDRE MACKENZIE,6gyf0
AV  ALEXANDRINA MALISANO DE LIMA,6gy9p 6gyc
AV  ALEXIOS JAFET,6gyf8 6gyf84 6gyf85 6gyf8h 6gyf8j
AV  ALFREDO AVILA,6gyf
AV  ALFREDO EGIDIO DE SOUZA ARANHA,6gyc8 6gyc91
AV  ALFREDO RIBEIRO DE CASTRO,6gyfm
AV  ALMYR DEHAR,6gyf92
AV  ALTA MANTIQUEIRA,6gyf2j
AV  ALTO DE VILA PIRAJUSSARA,6gy9r 6gy9rq
AV  ALVARO DOS SANTOS MATTOS,6gyfpz 6gyfrb
AV  ALVARO MACHADO PEDROSA,6gyf7k 6gyf7m 6gyf7t
AV  ALVARO RAMOS,6gycup 6gyf5b 6gyf5c 6gyf5f 6gyfh0 6gyfh1
AV  ALZIRO ZARUR,6gycy 6gycyj 6gycym
AV  AMADEU DA SILVA SAMELO,6gy9xc 6gy9xf
AV  AMADEU POLI,6gyfh 6gyfk
AV  AMADOR AGUIAR,6gyf8 6gyf8e 6gyf8t
AV  AMADOR BUENO DA VEIGA,6gyfhv 6gyfhy 6gyfj 6gyfjj 6gyfjm 6gyfjn 6gyfjw 6gyfjx 6gyfjz
AV  AMARILIS,6gycc
AV  ANA MARIA,6gyc6
AV  ANACE,6gyc85 6gyc8h
AV  ANASTACIO DE TRANCOSO,6gz422
AV  ANCARINHAS,6gyfpp 6gyfpr
AV  ANDORINHA-DOS-BEIRAIS,6gy9r 6gy9r1
AV  ANDRE CAVALCANTI,6gyfn 6gyfne 6gyfnu
AV  ANDREA PISANO,6gyc81
AV  ANDROMEDA,6gycwv 6gycwy
AV  ANGELICA,6gycf 6gyf4 6gyf40 6gyf46 6gyf47
AV  ANGELINA,6gyf78 6gyf79 6gyf7d
AV  ANGELO CRISTIANINI,6gyc4 6gyc4x 6gyc68
AV  ANGELO DI VERNIERI,6gyc8r 6gyc8x
AV  ANTARTICA,6gyf1 6gyf1u 6gyf4
AV  ANTENOR NAVARRO,6gyfk 6gyfkh 6gyfkj 6gyfkm
AV  ANTONELO DA MESSINA,6gyfe 6gyfec 6gyfef 6gyfeg
AV  ANTONINA TALARICO,6gyfjc
AV  ANTONIO AUGUSTO DE LIMA,6gyfq 6gyfqd
AV  ANTONIO BARBOSA DA S. SANDOVAL,6gyc1
AV  ANTONIO BATUIRA,6gycc
AV  ANTONIO BERNARDO SILVESTRE,6gyfr4
AV  ANTONIO BUONO,6gycv4 6gycv5
AV  ANTONIO CARLOS B. DOS SANTOS,6gybc 6gybc2 6gybcm 6gybcs
AV  ANTONIO CESAR NETO,6gyfeb 6gyfec
AV  ANTONIO DE SALLES PENTEADO,6gyc8 6gyc8j
AV  ANTONIO DE SOUSA QUEIROZ,6gycy 6gycyw 6gycyx
AV  ANTONIO DE SOUZA NOSCHESE,6gyd 6gyf0 6gyf01
AV  ANTONIO DIOGO,6gyfn5 6gyfnh
AV  ANTONIO ESTEVAO DE CARVALHO,6gyfj 6gyfj9 6gyfjc 6gyfjk 6gyfjs 6gyfn5
AV  ANTONIO GONCALVES VIANA,6gyc3f
AV  ANTONIO J. DE MOURA ANDRADE,6gyccf 6gycf
AV  ANTONIO LOUZADA ANTUNES,6gyfq 6gyfq9
AV  ANTONIO MANOGRASSO,6gycv5 6gycvh
AV  ANTONIO MUNHOZ BONILHA,6gyf3 6gyf3d 6gyf3f
AV  ANTONIO RAMIRO DA SILVA,6gy9z
AV  ANTONIO RAMOS JUNIOR,6gyc1 6gyc19 6gyc1d
AV  ANTONIO RICARDO DA SILVA,6gycy 6gycyw
AV  ANTONIO VERISSIMO ALVES,6gyc2 6gyc3
AV  ANTONIO VIEIRA MARCONDES,6gyc4
AV  APOLOGOS ORIENTAIS,6gy9r
AV  ARATAS,6gycd 6gycdd 6gycdf 6gycdj 6gycdk
AV  ARESTOTELES COSTA PINTO,6gybcw 6gybcx 6gyc18
AV  ARICANDUVA,6gycv 6gycvb 6gycvr 6gycvx 6gycy 6gycyn 6gycz 6gyfhf 6gyfhg 6gyfj1 6gyfj2 6gyfj3 6gyfj4
AV  ARISTON AZEVEDO,6gyf5
AV  ARMACAO DOS BUZIOS,6gyfn4 6gyfn5
AV  ARMANDO CARDOSO ALVES,6gyfh
AV  ARMANDO FERRENTINI,6gycfg 6gycfu
AV  ARNO,6gycg
AV  ARNOLFO AZEVEDO,6gyf4
AV  ARRAIAS DO ARAGUAIA,6gycv 6gycvc
AV  ARRUDA BOTELHO,6gyf0
AV  ARTERIAL SUL,6gy9
AV  ASSARE,6gyc1
AV  ASSEMBLEIA,6gyc6
AV  ASTOLFO DUTRA,6gycs
AV  ATILIO BRUGNOLI,6gyf87
AV  ATLANTICA,6gyc 6gyc1 6gyc16 6gyc2 6gyc3 6gyc30
AV  ATOS TOMAS FERRACCIU,6gy9rd 6gy9re 6gy9rf
AV  AUGUSTO ANTUNES,6gyfn 6gyfnw 6gyfnx 6gyfq8
AV  AUGUSTO BARBOSA TAVARES,6gy9r 6gy9x
