name,ghs
AC A AV AFFONSO D TAUNAY,6gyc
AC A AV AFFONSO D. TAUNAY,6gycd
AC A AV CDSSA E DE ROBIANO,6gyf
AC A AV CDSSA ELISABETH RUBIANO,6gyfh
AC A AV CECI,6gycd
AC A AV COMEN MARTINELLI,6gyf3
AC A AV CORREGO DA AGUA PRETA,6gyf1
AC A AV DAS NACOES UNIDAS,6gyc3
AC A AV DO ESTADO,6gyf 6gyf4
AC A AV DOS BANDEIRANTES,6gyc9 6gycd
AC A AV DR ARNALDO,6gycf
AC A AV DR GASTAO VIDIGAL,6gyf
AC A AV EMB MACEDO SOARES,6gyf3
AC A AV EMBAIXADOR MACEDO SOARES,6gyf 6gyf2
AC A AV ENG ARMANDO DE A PEREIRA,6gycd
AC A AV ENG BILLINGS,6gyf
AC A AV FRANCISCO MATARAZZO,6gyf1
AC A AV IBIRAPUERA,6gycf
AC A AV JABAQUARA,6gycd
AC A AV MARG DIREITA DO RIO TIETE,6gyf
AC A AV MARQUES DE SAO VICENTE,6gyf1
AC A AV MORVAN D FIGUEIREDO,6gyf
AC A AV MORVAN DIAS DE FIGUEIREDO,6gyf 6gyfh
AC A AV NACOES UNIDAS,6gyf
AC A AV OLAVO FONTOURA,6gyf4
AC A AV OTAVIANO A DE LIMA,6gyf4
AC A AV OTAVIANO ALVES DE LIMA,6gyf2 6gyf3
AC A AV PRES CASTELO BRANCO,6gyf 6gyf3 6gyf4
AC A AV QUEIROZ FILHO,6gyf
AC A AV RADIAL LESTE OESTE,6gycf 6gyf4
AC A AV REBOUCAS,6gycf
AC A AV SALIM FARAH MALUF,6gyf
AC A AV SANTOS DUMONT,6gyf4
AC A AV VEREADOR JOSE DINIZ,6gyc9
AC A AV VINTE E TRES DE MAIO,6gycf
AC A AVENIDA PROF VICENTE RAO,6gyc9
AC A AVENIDA SALIM FARAH MALUF,6gyfh
AC A AVENIDA VEREADOR JOSE DINIZ,6gyc9
AC A PONTE ARICANDUVA,6gyfh
AC A PONTE DA CASA VERDE,6gyf4
AC A PONTE DAS BANDEIRAS,6gyf4
AC A PONTE DE VILA GUILHERME,6gyf
AC A PONTE DE VILA MARIA,6gyf
AC A PONTE DO PIQUERI,6gyf3
AC A PONTE DO TATUAPE,6gyf
AC A PTE DA FREGUESIA DO O,6gyf3
AC A PTE FREGUESIA DO O,6gyf3
AC A RODOVIA PRESIDENTE DUTRA,6gyf
AC A RUA ANA CINTRA,6gyf4
AC A RUA AUGUSTO FARINA,6gycb
AC A RUA AUGUSTO TOLLE,6gyf6
AC A RUA DA CONSOLACAO,6gyf4
AC A RUA DA FIGUEIRA,6gyf
AC A RUA GUAICURUS,6gyf1
AC A RUA JACEGUAI,6gycf
AC A RUA JOHN HARRISON,6gyf1
AC A RUA SEBASTIAO PEREIRA,6gyf4
AC A RV DOS IMIGRANTES,6gyc6
AC A S DEZENOVE UM Q DEZENOVE,6gyf9
AC A VEL PRES ARTHUR DA C E SILVA,6gyf4
AC A VIA DUTRA,6gyf
AC A VIA ELEVADA ARICANDUVA,6gyfh
AC A VIA RAPOSO TAVARES,6gy9
AC ANDORINHA CRISTAL,6gyb
AC ANEL VIARIO,6gy9
AC ANU PRETO,6gyb
AC AO AC A VIA RAPOSO TAVARES,6gy9
AC AO VD BRESSER,6gyf
AC AO VIADUTO DONA PAULINA,6gycf 6gyf4
AC AO VIADUTO SEM DENOMINACAO,6gycd
AC AO VIADUTO SEM NOME,6gyf
AC AO VIADUTO VEREADOR JOSE DINIZ,6gyc9
AC ARAPONGA MARTELO,6gyb
AC ARARA AZUL,6gyb
AC AS MARGINAIS,6gyf
AC AV DIOGENES RIBEIRO LIMA,6gyf
AC AV DR ARNALDO A AV H PENTEADO,6gyf1
AC B S DEZENOVE UM Q DEZENOVE,6gyf9
AC BEM TI VI AMARELO,6gyb
AC CANARIO BELGA,6gyb
AC CINCO (J S PAULO),6g
AC CINCO (MONTEPIO JACANA TUC),6gyfe
AC CINCO A AV PRES CASTELO BRANCO,6gyf4
AC CINCO B (J S PAULO),6g
AC CINCO E (CJR JOSE BONIFACIO),6gyfp
AC CINCO S SETENTA E OITO Q VINTE VINTE E TRES,6gyf2
AC COAN DO BREJO,6gyb
AC CURIO CRISTAL,6gyb
AC D S UM NOVENTA E UM Q DEZENOVE,6gyf9
AC DA AV BRAZ LEME A R DR CESAR,6gyf6
AC DEZ,6gyf2
AC DEZ B (J S PAULO),6g
AC DIR A AV ABRAAO DE MORAIS,6gycd
AC DIR A AV AFFONSO D TAUNAY,6gycd
AC DIR A AV CRUZEIRO DO SUL,6gyf
AC DIR A AV MARG DO RIO PINHEIROS,6gyc9
AC DIR A R PEDRO ALVARES CABRAL,6gycf
AC DIREITO A AV AFFONSO D TAUNAY,6gycd
AC DIREITO A AV DAS NACOES UNIDAS,6gycc
AC DIREITO A AV OTAVIANO ALVES,6gyf4
AC DIREITO A PONTE DO LIMAO,6gyf4
AC DIREITO AO VIADUTO BRESSER,6gyf
AC DOIS,6gyf2
AC DOIS (BRASILANDIA B-FO),6gyf9
AC DOIS (J ALICE CBE),6gyc3 6gyc9
AC DOIS (J S PAULO),6g
AC DOIS A AV PRES CASTELO BRANCO,6gyf4
AC DOIS A DIREITA,6gyfp
