name,ghs
AL ACACIA IMPERIAL,6gy
AL ALAMANDRAS,6gy
AL ALECRIM,6gy
AL AMPARO,6gy
AL ANDIROBA,6gy
AL ANGATUBA,6gy
AL AROEIRA,6gy
AL ATIBAIA,6gy
AL AUGUSTO SEVERO,6gy
AL AVANHANDAVA,6gy
AL BACURI,6gy
AL BARI,6gy
AL BATATAES,6gy
AL BAURU,6gy
AL BAYONNE,6gy
AL BEIJA-FLOR,6gy
AL BEM-TE-VI,6gy
AL BENEDICTO FIDENCIO DA ROSA,6gy
AL BERGAMO,6gy
AL BIARRITZ,6gy
AL BOLOGNA,6gy
AL BRAUNA,6gy
AL BRESCIA,6gy
AL BURITI,6gy
AL CACAPAVA,6gy
AL CAMBARA,6gy
AL CASA BRANCA,6gy
AL CATANIA,6gy
AL CELIDONIO DO MONTE,6gy
AL CHAMBERY,6gy
AL CHAMBORD,6gy
AL CHAMONIX,6gy
AL CHINON,6gy
AL CIESP,6gy
AL COLMAR,6gy
AL COPAIBA,6gy
AL COURCHEVEL,6gy
AL DA ALEGRIA,6gy
AL DA BOA ESPERANCA,6gy
AL DA BOA FE,6gy
AL DA FELICIDADE,6gy
AL DA FRATERNIDADE,6gy
AL DA LIBERDADE,6gy
AL DA PAIXAO,6gy
AL DA PAZ,6gy
AL DA SAUDADE,6gy
AL DA VITORIA,6gy
AL DAS ACACIAS,6gy
AL DAS ACUCENAS,6gy
AL DAS ANGELICAS,6gy
AL DAS ASALEAS,6gy
AL DAS CATLEAS,6gy
AL DAS CRISANDALIAS,6gy
AL DAS DALIAS,6gy
AL DAS ESTRELAS,6gy
AL DAS FIGUEIRAS,6gy
AL DAS GLICINIAS,6gy
AL DAS GOIABEIRAS,6gy
AL DAS LAELIAS,6gy
AL DAS MARGARIDAS,6gy
AL DAS MILTONIAS,6gy
AL DAS PAPOULAS,6gy
AL DAS PETUNIAS,6gy
AL DAS PRIMAVERAS,6gy
AL DAS ROSAS,6gy
AL DAS TULIPAS,6gy
AL DAS VERBENAS,6gy
AL DAS VIDEIRAS,6gy
AL DAS VIOLETAS,6gy
AL DIJON,6gy
AL DO BOSQUE,6gy
AL DO HORTO,6gy
AL DO SOL,6gy
AL DONA ASSUNTA BARISANI TIENGHI,6gy
AL DOS ANTURIOS,6gy
AL DOS CAJUEIROS,6gy
AL DOS CRAVOS,6gy
AL DOS CRISANTEMOS,6gy
AL DOS GERANIOS,6gy
AL DOS GLADIOLOS,6gy
AL DOS HELIOTROPIOS,6gy
AL DOS IBISCOS,6gy
AL DOS JASMINS,6gy
AL DOS LIMOEIROS,6gy
AL DOS LIRIOS,6gy
AL DOS MALLARDS,6gy
AL DOS MANACAS,6gy
AL DOS MIOSOTIS,6gy
AL DOS SONHOS,6gy
AL DOS UNSIDIUNS,6gy
AL DR DIRCEU DORETTO,6gy
AL EDSCHA,6gy
AL EIFFEL,6gy
AL ESPATODIA,6gy
AL ESTRASBURGO,6gy
AL FAMILIA BERTIN,6gy
AL FAMILIA BETTI,6gy
AL FAMILIA CALDEIRA,6gy
AL FAMILIA CARVALHO,6gy
AL FAMILIA CATTANI,6gy
AL FAMILIA ELIAS DE MOURA,6gy
AL FAMILIA FELIPPE,6gy
AL FAMILIA FONSECA,6gy
AL FAMILIA GUARDA,6gy
AL FAMILIA ISQUIERDO,6gy
AL FAMILIA JACINTO,6gy
AL FAMILIA MATIELI,6gy
AL FAMILIA MOMESSO,6gy
AL FAMILIA MORON,6gy
AL FAMILIA MULLER,6gy
AL FAMILIA NAGAHARA,6gy
AL FAMILIA OLIVEIRA,6gy
AL FAMILIA PAGLIATO,6gy
AL FAMILIA PANISE,6gy
AL FAMILIA RODRIGUES,6gy
AL FAMILIA SOLA,6gy
AL FAMILIA TELES,6gy
AL FAMILIA VERLANGIERI,6gy
AL FAMILIA VIOTTI VIEIRA,6gy
AL FAMILIA WALTER,6gy
AL FERRARA,6gy
AL FIRENZE,6gy
AL FLAMBOYANT,6gy
AL FLORAC,6gy
AL FRANCA,6gy
AL FRANCESA,6gy
AL FRANCISCO MADIA,6gy
AL GENOVA,6gy
AL GUARANTA,6gy
AL GUARUJA,6gy
AL GUASTALLA,6gy
AL IGUAPE,6gy
AL IMPERIAL,6gy
AL ITALIA,6gy
AL ITANHAEM,6gy
AL ITAPIRA,6gy
AL ITAPORANGA,6gy
AL ITARARE,6gy
AL JABOTICABAL,6gy
AL JACAREI,6gy
AL JAU,6gy
AL JOCKEY CLUB DE SOROCABA,6gy
AL JORGE CAMPESTRINI,6gy
AL JUNDIAI,6gy
AL JURANDIR ESCABIA,6gy
AL KENWORTHY,6gy
AL LANGRES,6gy
AL LAURINDO DE BRITO,6gy
AL LE MANS,6gy
AL LILLE,6gy
AL LIMOGES,6gy
AL LOUVRE,6gy
AL LUA NOVA,6gy
AL LUGANO,6gy
AL LYON,6gy
AL MARICA,6gy
AL MESSINA,6gy
AL MILANO,6gy
AL MONTFORT,6gy
AL MONZA,6gy
AL MOYEN,6gy
AL MUTAMBO,6gy
AL NANCY,6gy
AL NANTES,6gy
AL NAPOLI,6gy
AL NICE,6gy
AL NICOLAU MILEGO,6gy
AL NOTRE-DAME,6gy
AL NOVA CONQUISTA,6gy
AL NOVARA,6gy
AL ORLEANS,6gy
AL PADOVA,6gy
AL PAINEIRA ROSA,6gy
AL PARMA,6gy
AL PERUGIA,6gy
AL PESCARA,6gy
AL PINTASSILGO,6gy
AL PISA,6gy
AL PITOMBA,6gy
AL PROF HORACIO RIBEIRO,6gy
AL PROF MARIO DE ALMEIDA,6gy
AL QUIMPER,6gy
AL RAVENNA,6gy
AL REGGIO EMILIA,6gy
AL REINO UNIDO,6gy
AL RENNES,6gy
AL ROMA,6gy
AL ROUXINOL,6gy
AL SALERNO,6gy
AL SAN MARINO,6gy
AL SANTOS,6gy
AL SEICOM,6gy
AL SENAI,6gy
AL SESI,6gy
AL SETE COPAS,6gy
AL TANGARA,6gy
AL TORINO,6gy
AL TOURS,6gy
AL TRENTO,6gy
AL TREVISO,6gy
AL TRIANON,6gy
AL TRIESTE,6gy
AL TUPA,6gy
AL UBATUBA,6gy
AL VENEZA,6gy
AL VERONA,6gy
AL VERSAILLES,6gy
AL VICENZA,6gy
AL VITRE,6gy
AL WYDA,6gy
AV ABRAHAM LINCOLN,6gy
AV ADAMANTINA,6gy
AV ADAO PEREIRA DE CAMARGO,6gy
AV ADHEMAR DE BARROS,6gy
AV ADOLPHO MASSAGLIA,6gy
AV ADONIAS CEPELLOS,6gy
AV ALBERT EINSTEIN,6gy
AV ALCIDEIVEZ AP. MIRANDA DE OLIVEIRA,6gy
AV ALTINOPOLIS,6gy
AV AMELIO JOSE DE ARRUDA,6gy
AV AMERICANA,6gy
AV AMERICO DE CARVALHO,6gy
AV ANDRADINA,6gy
AV ANGELICA,6gy
AV ANTONIO BARDELLA,6gy
AV ANTONIO CARLOS COMITRE,6gy
AV ANTONIO CARLOS ZÚCOLO,6gy
AV ANTONIO COMITRE,6gy
AV ANTONIO GOGOLLA,6gy
AV ANTONIO PAULA SANTOS,6gy
AV ANTONIO SOARES AGUIAR,6gy
AV ANTONIO TOZATO,6gy
AV ARDUINO MORANDO JUNIOR,6gy
AV ATALIBA PONTES,6gy
AV BANDEIRANTES,6gy
AV BARAO VL AV/PERIMETRAL 2A,6gy
AV BARRETOS,6gy
AV BELEM,6gy
AV BENJAMIN FRANKLIN,6gy
AV BENTO SAO PQ AV/03,6gy
AV BENTO SAO PQ AV/MARGINAL,6gy
AV BENTO SAO PQ AV/VICINAL //,6gy
AV BETANIA,6gy
AV BETEL,6gy
AV BETFAGE,6gy
AV BETSAIDA,6gy
AV BOA VISTA B AV/01,6gy
AV BOA VISTA B AV/02,6gy
AV BR DE TATUI,6gy
AV BRASIL,6gy
AV CANNES,6gy
AV CARIBE,6gy
AV CARLOS SONETTI,6gy
AV CASTELO BRANCO-PRES RD/AV MARGINAL,6gy
AV CATALDO LAMARCA NETO,6gy
AV CDE ZEPPELIN,6gy
AV CDOR BARBERO,6gy
AV CDOR CAMILLO JULIO,6gy
AV CDOR PEREIRA INACIO,6gy
AV CECILIA MEIRELLES,6gy
AV CHICO XAVIER,6gy
AV CLEISE TEREZINHA ROSA SILVA,6gy
AV DA LIBERDADE,6gy
AV DALVA PRADO MARCONDES,6gy
AV DARCI CARVALHO DAFFERNER,6gy
AV DARIO DE OLIVEIRA,6gy
AV DAS CAMELIAS,6gy
AV DAS HORTENSIAS,6gy
AV DIEGO LUIS DE SOUZA,6gy
AV DOM AGUIRRE,6gy
AV DOM PEDRO I,6gy
AV DOMINGOS JULIO,6gy
AV DOMINGOS MARTINS VIEIRA,6gy
AV DR AFONSO VERGUEIRO,6gy
AV DR ANTONIO DE SOUZA NETTO,6gy
AV DR ARMANDO PANNUNZIO,6gy
AV DR ARMANDO SALES DE OLIVEIRA,6gy
AV DR ARTUR BERNARDES,6gy
AV DR EUGENIO SALERNO,6gy
AV DR GUALBERTO MOREIRA,6gy
AV DR JOSE CAETANO GRAZIOSI,6gy
AV DR LUIZ FERRAZ DE SAMPAIO JUNIOR,6gy
AV DR MARIO ZANUSSI DE OLIVEIRA,6gy
AV DR OLAVO SALLES,6gy
AV DR THOMAZ CORTEZ,6gy
AV DR ULYSSES GUIMARAES,6gy
AV EDGARD BADDINI MEIRA,6gy
AV EDINALDO SANTOS,6gy
AV EDWARD FRU-FRU MARCIANO DA SILVA,6gy
AV ELIAS MALUF,6gy
AV ENCARNACAO,6gy
AV ENG CARLOS REINALDO MENDES,6gy
AV ENG CARLOS SPANGHERO,6gy
AV FERNANDO STECCA,6gy
AV FLORIZA PEREZ CAMARGO,6gy
AV FRANCISCO BASSALOBRE,6gy
AV FRANCISCO PINTOR MIRANDA,6gy
AV FRANCISCO ROLDAO SANCHES,6gy
AV FULVIO CLAUDIO BIAZZI,6gy
AV GABRIEL SEME CURY,6gy
AV GARABED GANANIAM,6gy
AV GEN CARNEIRO,6gy
AV GEN OSORIO,6gy
AV GENERAL MOTORS,6gy
AV GEORG SCHAEFFLER,6gy
AV GETULIO VARGAS,6gy
AV GONCALVES MAGALHAES,6gy
AV GOV CARVALHO PINTO,6gy
AV GUARATINGUETA,6gy
AV HERNANI DE BARROS,6gy
AV HOLLINGSWORTH,6gy
AV INDEPENDENCIA,6gy
AV INDUSTRIAL PRESTES PQ AV/01,6gy
AV IPANEMA,6gy
AV IPORANGA,6gy
AV IPORANGA B AV/SEM NOME,6gy
AV ITANGUA B AV/MARGINAL,6gy
AV ITAVUVU,6gy
AV ITAVUVU B AV/PLANO DIRETOR (1),6gy
AV ITAVUVU B AV/PLANO DIRETOR (3),6gy
AV ITAVUVU B AV/SEM NOME,6gy
AV JARAGUA,6gy
AV JEQUITIBA,6gy
AV JEROME CASE,6gy
AV JOHN BOYD DUNLOP,6gy
AV JORGE GUILHERME SENGER,6gy
AV JORGE JAMIL ZAMUR,6gy
AV JOSE ANTONIO CAMARGO (ZECA CAMARGO),6gy
AV JOSE BENEDITO DE LIMA,6gy
AV JOSE JOAQUIM DE LACERDA,6gy
AV JOSE LOPES SOARES,6gy
AV JOSE MARCELINO BARBOSA,6gy
AV JOSE MARIA MOREIRA,6gy
AV JOSEPH CYRIL BAMFORD,6gy
AV JUVENAL DE CAMPOS,6gy
AV LAURO MIGUEL SACKER,6gy
AV LINDOIA,6gy
AV LONDRES,6gy
AV LUIZ FERNANDO WALTER,6gy
AV LUIZ TEIXEIRA DOS SANTOS,6gy
AV MAL DUTRA,6gy
AV MANOEL DE CAMARGO SAMPAIO,6gy
AV MARIA HANNICKEL NASCIMENTO,6gy
AV MARIA LOPES CASTILHO,6gy
AV MARIO CAMPOLIM,6gy
AV MARIO JOSE AZEVEDO DE ALMEIDA,6gy
AV MARSELHA,6gy
AV MAXIMO ALFREDO SIMONI,6gy
AV MIGUEL PATRICIO DE MORAES,6gy
AV MONS MAURO VALLINI,6gy
AV MOREIRA CESAR,6gy
AV NIPRO,6gy
AV NOSSA SENHORA DOS REMEDIOS,6gy
AV NOVE DE JULHO,6gy
AV ODETTE MATUCCI,6gy
AV OLINDA AIRES PAULETE,6gy
AV PARAGUAI,6gy
AV PARANA,6gy
AV PAULO EMANUEL DE ALMEIDA,6gy
AV PAULO VARCHAVTCHIK,6gy
AV PE JOAQUIM GONCALVES PACHECO,6gy
AV PE LIVIO EMILIO CALLIARI,6gy
AV PEDRO BIFANO,6gy
AV PERCITO DE SOUZA QUEIROZ,6gy
AV PEREIRA DA SILVA,6gy
AV PIAZZA DI ROMA I JD AV/CENTRAL,6gy
AV PIRELLI,6gy
AV PITAS B AV/SEM NOME,6gy
AV PRES ITAMAR FRANCO,6gy
AV PRES JUSCELINO KUBITSCHEK DE OLIVEIRA,6gy
AV PRES KENNEDY,6gy
AV PRFA IZORAIDA MARQUES PERES,6gy
AV PRFA YOLANDA BERTI JUSTI,6gy
AV PROF ALCEBIADES DE CARVALHO,6gy
AV PROF ARTHUR FONSECA,6gy
AV PROF FLAVIO FAZANO,6gy
AV PROF JOAQUIM SILVA,6gy
AV PROF JORGE MOYSES BETTI,6gy
AV PROLONGAMENTO DA AV 1 DO SOROCABA I,6gy
AV PROPICIO PEREIRA DE SOUZA,6gy
AV QUINZE DE AGOSTO,6gy
AV RADIAL NORTE,6gy
AV RAUL BARBOSA,6gy
AV RIO CLARO,6gy
AV RIUSAKU KANIZAWA,6gy
AV ROBERTO SIMONSEN,6gy
AV RONDA B AV/PROJETADA,6gy
AV ROQUE GABRIEL,6gy
AV RUDOLF DAFFERNER,6gy
AV SALVADOR MILEGO,6gy
AV SANDRO ANTONIO MENDES,6gy
AV SANTOS DUMONT,6gy
AV SAO BERNARDO DO CAMPO,6gy
AV SAO FRANCISCO,6gy
AV SAO PAULO,6gy
AV SELMA APARECIDA SAID,6gy
AV SOROCABA,6gy
AV STA CRUZ,6gy
AV SUCUPIRA,6gy
