name,ghs
AL ALAMEDA  CLAUDIA,6gz1
AL ARMANDO ALCANTARA,6gz4 6gz44 6gz44h
AL CARLOS REIS FILHO,6gz4 6gz44
AL CELESTINO RODRIGUES,6gz4 6gz44 6gz44h
AL CUNHA BUENO,6gz4 6gz44h
AL FERNANDO COSTA,6gz4 6gz44 6gz444
AL JAIME FORTE,6gz4 6gz44 6gz444 6gz44h
AL JULIANA,6gz1
AL MEYER JOSEPH NIGRI,6gz4 6gz44 6gz44h
AL PORTUGALIA,6gz44
AL REGINA,6gz1
AL ROBERTA,6gz1
AL TENENTE JOSE BERNARDINO,6gz4 6gz44 6gz44h
AREA ENCRAVADA,6gz1 6gz1c 6gz1f 6gz4
AV A,6gz46
AV AGUA BRANCA,6gz1f 6gz44
AV ANGELO BIANCONI,6gz1c 6gz1f 6gz44
AV ANTONIO MARQUES FIGUEIRA,6gz1f 6gz44 6gz446
AV ANTONIO RACHID,6gz1c
AV ARMANDO SALLES DE OLIVEIRA,6gz4 6gz44 6gz444
AV ATLANTICA,6gz44 6gz46
AV AV ALBERTO NUNES MARTINS,6gz1
AV AVENIDA AMERICO FERREIRA MENDES,6gz1 6gz13
AV AVENIDA BRASIL,6gz4 6gz44 6gz44h
AV BELARMINO LUCAS FERNANDES,6gz4 6gz46
AV BELEM,6gz1
AV BOA VISTA,6gz46
AV BRASIL,6gz1 6gz4 6gz44h
AV BRASILIA,6gz44 6gz446
AV BRASILIANA,6gz1 6gz1f
AV BRINCO DE PRINCESA,6gz13
AV CANADA,6gz1
AV CINCO,6gz46
AV CONDE DE MONTE CRISTO,6gz4
AV CYANARA ALVES DE CARVALHO,6gz46
AV CYNARA ALVES DE CARVALHO,6gz46
AV DAS AZALEIAS,6gz13
AV DAS ORQUIDEAS,6gz13
AV DAS ROSAS,6gz13
AV DEZ,6gz4
AV DOIS,6gz1
AV DOZE,6gz4
AV EDMILSON RODRIGUES MARCELINO,6gz4 6gz44 6gz46
AV ESTADOS UNIDOS,6gz1
AV FRANCISCO MARENGO,6gz44 6gz46
AV GOV. MARIO COVAS JUNIOR,6gz1f 6gz44
AV GOVERNADOR MARIO COVAS JUNIOR,6gz446
AV GUAIO,6gz4
AV ITAPETI,6gz46
AV JAGUARI,6gz46
AV JESUS SANCHES PRICEVICIUS,6gz46
AV JONAS PROFETA DE CARVALHO,6gz1
AV JORGE BEY MALUF,6gz4 6gz44
AV KATSUTOSHI NAITO,6gz44 6gz46
AV LEONARDO PINTO MENDONCA,6gz1c 6gz1f
AV LIBANESA,6gz44 6gz46
AV LUIZ MARIA FERNANDES,6gz46
AV MANOEL CASANOVA,6gz1c 6gz4
AV MANOEL DA SILVA RIBEIRO,6gz44h
AV MARGINAL,6gz1 6gz13 6gz4 6gz44 6gz46
AV MARGINAL DO UNA,6gz446
AV MARIA HELENA,6gz44
AV MIGUEL BADRA,6gz4 6gz46
AV MISSIONARIA,6gz1f 6gz44
AV MOGI DAS CRUZES,6gz4 6gz44 6gz444
AV NACOES UNIDAS,6gz4
AV NACÖES UNIDAS,6gz1
AV NADIR DIAS DE FIGUEIREDO,6gz44
AV NOVE,6gz4
AV ODILON DE SOUZA,6gz4 6gz44
AV OITO,6gz4
AV ONZE,6gz4
AV OSWALDO GUIMARAES LANZAS,6gz4
AV PASTOR ARISTIDES GERALDINO,6gz1
AV PAUL PERCY HARRIS,6gz4 6gz44h
AV PAULISTA,6gz4
AV PAULO PORTELA,6gz44
AV PAULO SAMPAIO,6gz44 6gz46
AV PERIMETRAL DOIS,6gz13
AV PORTUGAL,6gz1
AV PRES KENNEDY,6gz46
AV PRESBITERO ELIEZER MARTINS DA COSTA,6gz44 6gz46
AV QUITERIA LAURA DE MATOS,6gz4 6gz46
AV RENO CARDOSO,6gz1
AV RIO DE JANEIRO,6gz44
AV ROMA,6gz4
AV RUA DR PRUDENTE DE MORAES,6gz4 6gz44
